Symbol	logFC	P.Value
NEDD9	1.388180638	0.003517536
ARHGAP24	-1.952524472	0.003532319
IL9R	-2.15548876	0.003532132
CTRB2	-2.729192746	0.003547756
LEMD2	0.628173164	0.003547816
ST7OT2	1.335755574	0.00355816
ATG2B	1.243845189	0.003570498
NR1H3	0.570495006	0.003575162
SFRS2IP	0.618629914	0.003575185
PTPRC	0.382055636	0.003576589
ARL4A	0.950206236	0.003577469
HSD17B12	0.441678512	0.003585327
ITGB4	-2.378139894	0.00358577
HNRNPA1L2	0.66394771	0.00359277
ACN9	1.03156216	0.003597839
DCP1A	0.876295894	0.003608261
C19orf41	-3.279891819	0.003609839
PEF1	0.63104787	0.003621407
TBC1D10C	0.39082699	0.003624273
PRPSAP2	0.983758767	0.003645859
ENO3	0.859480138	0.003649174
RORA	1.452991546	0.00365814
TSEN2	0.85596459	0.00366011
ATP2B2	-3.063781881	0.003678813
ARL6IP4	0.770722786	0.003680976
CLGN	1.712300287	0.00368883
CLEC4E	-2.344234123	0.00369005
EPN2	-2.044951654	0.003698024
UBXN11	-0.48471504	0.003699781
B4GALT2	-1.838002401	0.003713752
SAMD7	-1.002803995	0.003716133
GSTP1	0.434423164	0.003730157
C9orf24	-1.991676047	0.003731257
KLHL7	-1.195808523	0.003736902
FAM69A	1.093382907	0.003737118
FLJ26850	-1.615616707	0.003747292
MRPL35	-1.852965288	0.003754121
SLA2	-0.488538998	0.003763172
FABP6	-4.002523722	0.00376309
LSM3	0.757179366	0.003767777
POFUT2	-2.256966797	0.00377032
SLC22A4	1.324011073	0.003787464
U1SNRNPBP	-0.383454696	0.003787142
PRPS1	0.857308386	0.003806157
SFRS14	-0.35368306	0.003809272
QSOX2	-0.56455615	0.003812731
CKAP2	0.972831419	0.003818099
TACC1	0.487055976	0.003821771
KLHL13	-1.138000096	0.003821632
KDELR3	0.735959086	0.003835232
DLST	-1.00272072	0.003835156
CCDC125	0.8530587	0.003850502
ZNF654	1.133207382	0.003851378
IL11RA	1.000839773	0.003861104
LOC392196	1.532651174	0.003863901
SLC23A2	-0.872606744	0.003877047
PADI3	-2.829663753	0.003879802
PRR25	-2.249852434	0.003894187
GRN	0.828678338	0.003894674
ST8SIA4	0.822044106	0.003911193
TCAP	0.7424924	0.003913499
CAMKK1	-1.613055046	0.003920553
PI4K2B	0.937854647	0.003928911
FTHL2	0.934285082	0.003937008
ZNF830	0.880880814	0.003939061
SLC38A2	0.567236962	0.003949944
SLC27A2	-1.291070906	0.003949753
C1orf177	-2.183030538	0.003964284
GLI3	-2.254666241	0.003970744
MLC1	-1.113397904	0.00397723
TRIM33	0.800520584	0.00397884
CENPE	-1.898973639	0.003987363
UFC1	0.51387812	0.003987006
SCGB1D2	-2.608797605	0.003998568
LIG1	-0.683921274	0.003999438
CDX1	-2.541252884	0.004006683
AAMP	0.930393006	0.004009682
IVL	-1.007186995	0.004024039
SFRS17A	0.40396587	0.004026442
MRPS2	-0.538953462	0.004036945
CCT8L1	-2.179990162	0.00403742
GRAMD1A	0.710131832	0.004046674
FKBP11	0.61815921	0.004046943
ZNF322A	0.821249917	0.00405233
FBLN1	-2.839187224	0.004053779
NTRK2	1.020386993	0.004058996
HYAL2	-0.886861304	0.004066226
SLC3A2	-0.433788792	0.004082805
RGAG4	2.071231166	0.00408247
C19orf31	0.37888798	0.004085861
KCNH5	-2.907864275	0.0040874
THBS3	0.995090284	0.004093617
SULT1A3	-0.4765837	0.004095863
CPZ	-2.355263714	0.004105708
SRPK3	-2.605279204	0.004109319
RFX3	-0.83446343	0.004117639
CSH2	-3.719606957	0.004120938
ITM2C	0.442342038	0.004126402
HRK	-1.988965898	0.004129033
C9orf171	-2.087559855	0.00414096
FMNL3	-2.0086265	0.004141818
CD97	0.667939684	0.004151895
SLC30A1	1.50438764	0.004152051
SYVN1	1.105122479	0.004174788
TTLL4	-1.374309831	0.004179498
PARD6G	-2.979980663	0.004196063
C16orf3	-2.650569449	0.004196433
EIF4G1	-0.414107524	0.004216767
CCND1	1.107752594	0.004218582
NSMAF	0.935010532	0.004224855
TBC1D2B	-0.823916046	0.004224776
NEFM	-0.986235008	0.004232776
KCNJ1	-2.243576188	0.004233633
GM2A	-0.948256744	0.004242633
FRMPD2L2	-3.873439807	0.004243643
TAX1BP3	1.364529681	0.004254058
FAM96A	0.712851314	0.004259195
BSG	-1.618758311	0.004271984
BCCIP	-0.34643063	0.004272568
DNAJC7	1.029366901	0.004279511
DIABLO	0.776437934	0.004280148
USP42	-0.502224784	0.004292202
43161	-1.352558483	0.004296457
LOC164380	-2.254671848	0.004306405
TRIM14	-1.637900028	0.004310311
NSF	0.833860261	0.004311974
CPLX1	-3.117685023	0.004312497
LHFPL5	-1.883435431	0.00432606
VMAC	1.219538339	0.004330347
MOXD1	-2.695593535	0.004359983
UGT3A2	-2.927452216	0.004366456
IGJ	1.181679467	0.00436806
IFI6	0.648006453	0.004372155
C4orf44	-1.787800442	0.004387724
MDN1	-0.71676694	0.004389049
TMTC4	0.985511393	0.004398921
CNN2	-0.42008036	0.004399645
RASSF3	-2.214207306	0.004405273
RENBP	-1.706526734	0.004406808
LOC440742	-1.653402768	0.004421216
TET1	1.08233255	0.00442639
ERVWE1	-0.8067876	0.00443138
NET1	-0.956715394	0.00443182
TRPV6	1.396404223	0.004439222
POLR2H	-0.357799314	0.004446002
ASNS	-0.571651462	0.004456328
EPS15	0.908709071	0.004458314
ZNF229	1.162131071	0.004470808
TDGF1	0.772911392	0.004471672
MLH1	-0.462672808	0.004481192
CTRL	0.86944852	0.004498622
RNF5	1.106267285	0.004497008
CD8B	-2.359645612	0.004496505
KBTBD12	-2.743840017	0.004500759
UGP2	0.581974332	0.004512352
HISPPD2A	0.82506531	0.004529615
NIF3L1	-1.14196128	0.004530326
C4orf14	0.335496106	0.004538684
CUTA	-0.371549588	0.0045414
RFX2	1.323331395	0.004548363
LOC100125556	0.513785177	0.004550508
TNP1	-3.02530485	0.004568219
ARHGAP19	-1.057771292	0.004573952
MFSD4	-1.998811521	0.004588906
ATP4B	-2.021448439	0.004591214
C19orf38	0.704527022	0.004592936
ABCC6	1.154358883	0.004596664
TNIP3	-1.395464102	0.004605192
LEPR	-2.032547025	0.004606481
PTGES2	-0.811905034	0.004612729
PRDM1	-1.813519196	0.004616565
COMP	-2.885724707	0.004630901
GMFG	0.698054814	0.004638113
ZFP106	0.949941487	0.004649383
SPTLC1	1.103423309	0.004650505
APOB	-1.905540818	0.004654875
ZNF146	1.100594433	0.004659696
PRCC	-0.895036638	0.004669218
S1PR3	-1.801330568	0.00467048
GPBAR1	0.786439587	0.004678698
UQCRFS1	0.452196442	0.004682207
GTF3C3	0.921415355	0.004687838
HNRNPUL2	-0.446846994	0.00468787
TOP3A	-0.843827398	0.004705592
FAM102B	1.089095064	0.004712747
UMOD	-2.348988282	0.004724109
RDH12	-2.224318791	0.004735448
ACRV1	-2.382553264	0.004742249
ZNF439	0.739068606	0.004743441
ZNHIT3	1.068666348	0.004766039
STAG2	1.037593258	0.004766102
PCDHGC4	-2.136015351	0.004779482
WWP2	-0.77733103	0.004781003
ITPA	0.909644453	0.004787383
COL16A1	1.329436122	0.004790812
MPPED2	0.835984563	0.004797884
PRKD2	0.349395312	0.004799612
DYNLT3	0.6201579	0.004807809
FAM102A	1.591140836	0.004808832
MYL2	-2.246490529	0.004822027
DEFB125	-1.684418203	0.004822799
KLRF1	1.401326898	0.004828645
EEF2	0.505716924	0.004831444
LOC389834	0.851081354	0.004835564
PPAPDC1A	-1.877020052	0.004838282
TSC1	-1.142772064	0.004855998
ZNF702P	-1.923459844	0.004857442
DDX23	-0.620524786	0.004875548
CRISPLD2	-2.199147897	0.004876448
TCEA1	-0.379179114	0.004886859
PCP4	-1.655541438	0.004892461
DEDD	1.047970111	0.004905835
FAM153C	-1.858131095	0.004906353
INHBC	1.129521095	0.004917686
LGMN	-0.388259198	0.004919277
PIAS1	-0.373741474	0.004931932
MRPL24	1.112823271	0.004935038
CABP2	-2.545084041	0.004946769
OR5P3	-2.688617757	0.004950128
PRKCZ	-1.398708618	0.004967939
ACVR1B	1.383636203	0.004978122
ARS2	-1.421896286	0.004989963
NUCKS1	1.20985687	0.004992298
PHF20L1	1.165426634	0.005004016
MME	-2.34033448	0.005013932
TNK2	1.119184495	0.005012705
FBXL20	-1.196792588	0.005011796
IGSF10	1.658429615	0.005018856
C1orf215	-0.463737176	0.00502226
RHBDD1	-1.021260974	0.005036075
TDRG1	-1.675487562	0.005036914
ADAR	0.413461216	0.005046938
COMMD3	-0.346956956	0.005049928
FLJ20674	0.856658394	0.00505892
TNPO3	-0.362524104	0.005061529
CCNT2	0.795449208	0.005070723
HNF4G	1.001003594	0.005072091
ETF1	0.691184832	0.005091112
NANOS1	0.888426718	0.005096365
MCL1	0.837764983	0.005107914
LHFP	-1.180463974	0.005109636
UBE2L6	-0.34869695	0.00512255
KRTAP13-4	-2.705017381	0.005122762
RREB1	-1.249111296	0.005136422
LLGL1	-1.96577412	0.005137739
POU4F1	-2.307064176	0.005161895
KIAA1128	1.366212523	0.005162453
USP37	1.110888637	0.005181779
MEN1	-1.538069216	0.005187428
MED29	0.549452974	0.005196993
PTRF	0.864078774	0.005202762
ATP2B2	0.583553542	0.005208759
PCNP	-0.323877632	0.005208985
ASB3	0.76439139	0.005234576
ZNF174	-1.649220343	0.005237455
STK24	1.136667598	0.005240708
CRKRS	0.509658586	0.005245282
INTS10	-0.31024003	0.005260333
UBQLN1	0.841705452	0.005260672
KLK5	-1.86613494	0.005260651
PSG6	0.633740214	0.005263089
C9orf93	0.802556252	0.005274744
DUSP5	1.15430749	0.005275131
NUDT21	0.724566788	0.005279427
CNP	1.202179368	0.005281171
CA12	-2.860103226	0.005303396
MLXIP	-0.842759946	0.005307655
CD5	0.615302833	0.005324867
SMPDL3A	0.86380344	0.00532439
LCAT	0.668412368	0.005330385
DEPDC1	-0.639069095	0.005330618
AUH	-2.239164148	0.005354179
JPH3	0.932353331	0.005356141
RINL	0.54358809	0.005376065
FAM19A3	-3.27415505	0.00537964
KRTAP10-2	-2.200444423	0.005393942
CLDN18	-3.278323412	0.005396015
MSH5	-0.940684178	0.005410193
C7orf26	-0.529041676	0.005412084
MICALCL	-1.336864132	0.005425142
ADCYAP1	-2.609017277	0.005425731
SLITRK4	0.97451955	0.005431616
CTR9	1.009102115	0.005433969
SMAD6	2.079653623	0.005451922
MS4A6A	1.304134697	0.005456055
KCNQ3	-1.229949214	0.005475153
CDC25B	0.637044044	0.005476843
KCNMB2	0.715434465	0.005497646
C15orf2	-0.841016905	0.00549697
DNAH5	-2.239723459	0.005500871
CD86	0.843584533	0.005502621
HOXD9	1.052691136	0.005521144
LOC100093631	0.567264283	0.005521496
TMEM217	0.872529924	0.005534466
CDO1	1.217388513	0.005535781
TNFAIP3	1.111377445	0.005552552
TAL1	0.789400302	0.005554853
SMEK2	1.02094069	0.005569339
PPP2R3A	-1.65633503	0.005581868
TGFB1I1	1.350448931	0.005590655
WDR20	0.821941352	0.005601199
ERCC8	-1.04307506	0.005620055
HN1	0.855951569	0.005623873
C12orf10	-0.336564232	0.005639844
DBNDD1	1.174049895	0.005645071
ADAM33	-2.451342984	0.005662864
FLJ20674	0.750441856	0.005662709
RPS16	0.271814722	0.005669979
PLA2G2C	0.774107207	0.005669446
ATF4	0.880748354	0.005679249
OTOF	-2.520465325	0.005687867
KLK5	-1.836216511	0.005700679
UFD1L	-1.440525374	0.005700538
TMEM39B	0.925659339	0.005733548
TBC1D29	-3.142161728	0.005740803
TSPAN3	0.514450326	0.005744783
C10orf26	0.891784481	0.005745641
TAF13	0.711017138	0.005767346
ZDHHC16	-1.396993482	0.005768568
ANKRD20A1	1.038781338	0.005773213
CDKN2B	-1.907065034	0.005773948
SPRYD3	0.982371075	0.00578719
RELB	0.614832928	0.005799674
SYT3	-1.11039882	0.005811272
ZBTB12	1.367197162	0.005824938
APBA3	-0.718925932	0.005834182
METTL2B	1.096994838	0.005838501
POLR2J3	0.608661004	0.005851213
UBE2D1	0.572285442	0.005854956
CIRBP	0.343184562	0.005864266
FOXD3	-2.313094338	0.005873444
SLC27A6	1.345595794	0.005883014
CSF3	-2.991745572	0.005884231
BMP2K	0.841306312	0.005891898
SLC23A2	0.65792221	0.005894378
CHMP4A	0.937129906	0.005903777
KCNQ1	1.311720872	0.005914862
IL1RAP	0.661030902	0.005933907
VWF	-1.742370981	0.005935408
GAGE12J	-1.350384326	0.00595118
PIM3	0.749225356	0.005953385
RPS27A	0.348033018	0.005967928
NACC1	-0.909508167	0.005970008
CA5A	-1.455330953	0.005982499
PTRH2	0.94786818	0.005986932
EXT2	1.245844292	0.005993381
METAP2	0.740257676	0.00600429
NUP43	0.923399691	0.006025268
TPRKB	1.163762473	0.006027134
RASD1	1.444574129	0.006039666
ABCC11	-1.503831	0.006041724
GRID2	-2.116420406	0.006054895
TEC	0.889565513	0.006055669
LOC642460	0.605265902	0.006070424
SDS	-1.285301609	0.006079198
TNFSF14	-2.388433423	0.006099097
PELI1	0.313718636	0.00610545
BCL2L14	-1.651314672	0.00612732
MAK	-2.02928541	0.00612687
TAF1L	-0.769255466	0.006132474
MAGEA10	-2.654596928	0.006133634
RFPL3S	-0.784843784	0.006138908
LCE3A	-1.752132161	0.006143288
ZSCAN16	-0.923497034	0.00616518
C9orf163	-2.215899514	0.006172462
C10orf99	-2.005897877	0.006187833
DPP8	-1.786675243	0.00619591
SLCO1A2	0.512346142	0.006209476
KLRC1	-1.826798611	0.006212345
BRD4	0.968883662	0.006223501
RAPGEF1	-1.917705118	0.006229874
KCNIP4	1.106629978	0.006242435
S100A13	0.708638182	0.006243883
SUPT5H	0.525605614	0.00625859
KRT1	-2.26395732	0.006261689
GNPAT	-0.55350561	0.006284675
LOC440093	0.973184125	0.006286095
MRPL10	0.981208868	0.006297632
OR5D14	-1.710386442	0.006298358
LHX4	-1.233577188	0.006316789
THOP1	-0.46955761	0.006316008
PTPN7	1.116636013	0.006327989
RGPD5	0.847362252	0.006329531
RNY5	0.51465188	0.006352085
SYNE2	0.536574884	0.00635492
LAT	-0.966009576	0.00635696
HOXA4	0.786650676	0.006365205
RHOT1	-0.368670438	0.006382302
LOXHD1	-0.842965579	0.006383464
ASB17	0.642975014	0.0063938
KARS	-0.303591158	0.006395547
ACADM	-0.475766458	0.006403389
SH3BGRL	1.211608474	0.006405565
EFCAB5	-2.071203664	0.006423769
UBE2U	-0.919855165	0.006436092
SDK2	0.360344178	0.006446777
LYST	1.384513162	0.006447965
TNFRSF1B	0.433311264	0.006466372
CRB3	-1.685823113	0.006475216
KIAA1432	-0.810160092	0.006494694
UBE2L3	0.600830272	0.006494005
NUPL2	0.891847908	0.006505855
GFM2	1.119245707	0.006508323
UBXN8	-0.78605862	0.006525989
PAG1	-1.377717516	0.006527681
LYPLAL1	1.093907797	0.006541055
ADCY7	0.523060145	0.006544194
ARSE	-2.296203166	0.006551086
GABRR2	-2.140741021	0.006554926
KCTD1	0.909472237	0.006571318
TRAPPC2L	-0.35405028	0.006575778
CAPRIN1	0.910402606	0.006597398
CBFA2T2	0.654658534	0.006600464
DERA	-0.369882176	0.006612357
RBM24	0.847991864	0.00661463
HCN2	-1.299547215	0.006633168
RNF17	1.218831073	0.006647975
TADA3	1.016574153	0.006661817
HADH	0.944416198	0.006663431
RIMS3	-1.588179776	0.006683675
MLXIPL	-1.981023237	0.006685196
AIPL1	-2.376373832	0.006704146
HCG2P7	0.896237538	0.006710398
MAN1A2	1.2167353	0.006737922
DPP8	0.75133555	0.006741645
HMOX1	-1.14508586	0.006754953
MYO3B	-1.666474851	0.006754367
LOC653786	-0.748444002	0.006768597
ST8SIA5	-2.724919241	0.006774399
FCN3	-1.831371038	0.006785207
PKP1	-1.373395783	0.006792432
PARP1	1.208689794	0.006820563
TH1L	0.696936404	0.00682232
URG4	0.919715274	0.006829293
MTSS1	1.405684858	0.006829405
FLJ10661	-1.941835562	0.006840698
STK19	-0.316268372	0.006844425
PGM3	0.770178422	0.006849921
SPSB3	0.390178438	0.006864069
EGFL7	0.782579356	0.006882907
TADA2B	-2.586720187	0.006888901
GALM	0.73713327	0.006914322
CASC5	-1.897366707	0.006914016
TTC9C	-0.971039506	0.006923559
CA9	-2.422375575	0.006927548
PPAPDC1B	0.398859504	0.006943252
EPHA3	-1.763639028	0.006950528
ECHDC1	1.166587214	0.006956048
LOC645993	-2.198195716	0.006954804
CLEC11A	-1.100523318	0.006969552
PITPNB	0.755225676	0.006970785
LOC730101	0.986158557	0.007013646
PITX2	-2.128582278	0.007023717
IL31	1.580067351	0.007039872
POLDIP2	-0.958846646	0.007044249
OR5B21	-2.574348951	0.007055327
KRTAP5-10	-1.846815715	0.00705797
ANGPTL2	-1.765327969	0.007068527
C19orf55	-0.823878784	0.007069327
TMEM17	0.748980383	0.007077626
COX15	-0.484642152	0.007085423
PNPO	0.760948174	0.007111364
C4orf16	0.892180621	0.007124474
DCK	1.000464598	0.007144388
TBPL1	0.743140222	0.007143643
ZFP91	-0.476076988	0.007163679
UNC13A	-1.18158835	0.007171652
LEPR	1.21430716	0.007179617
DNAJB13	0.785860629	0.007183902
SNX15	0.37326729	0.007186048
DRG1	-0.289433764	0.007193399
DUSP4	-2.149044034	0.007219616
MYLIP	0.546650356	0.007234176
FSTL4	-2.577760538	0.007260291
PRKAR1B	0.740622789	0.007262702
PAPD4	1.135909071	0.007272912
LOC678655	0.51381196	0.007272096
ARID1B	1.331273769	0.007299014
HSPC159	0.960239961	0.007300698
SLC22A6	-3.893823229	0.007313089
MRGPRE	-2.050927143	0.007315405
GSR	0.469437728	0.007322432
PTS	0.498128754	0.00732276
TLR9	-1.097958422	0.00734298
CYP2S1	-2.05595712	0.007344399
SCAF1	0.864613276	0.007387679
C2CD3	-1.34550607	0.007394537
CLASP1	-0.838147617	0.007411648
BAIAP2	-2.004645993	0.007412733
FLJ40448	1.213233678	0.007429321
ABCC1	-0.596560256	0.007429826
MYH11	-2.505128857	0.007450803
DDX3X	0.428507886	0.00745354
PCM1	0.643709996	0.007469629
OR52B2	-2.666767356	0.007473432
PRC1	-0.535594314	0.007495524
DAPL1	-2.860636617	0.007496776
NCRNA00181	-1.481967779	0.007509798
TOMM6	1.009471817	0.007514844
MAGEB10	-2.04689417	0.007521381
LRTOMT	-1.795794318	0.007531054
SPINLW1	0.587264568	0.007551222
LRAT	-2.580662387	0.007562363
A1CF	-1.895338905	0.007577085
CDC2L6	-0.385053226	0.00758168
GPR1	0.61451512	0.007597484
NAT9	0.85299456	0.007603016
METTL2A	0.883374467	0.007625178
CTBP2	0.918016947	0.007628919
C13orf27	1.100855976	0.007649203
RALBP1	0.913444645	0.00764879
IL17C	-1.517139786	0.007692321
METRNL	-1.916157543	0.007701608
NUDT9	0.753710504	0.007718085
LGALS8	1.009310703	0.007718145
OPN4	-2.071886927	0.007734224
C4orf7	0.925787771	0.007741186
ETV2	0.878646992	0.007757166
GJC2	0.964074586	0.007761709
MYOZ1	-2.520579713	0.007773868
CABP4	0.735063956	0.007775111
PRAME	-1.95659716	0.007787188
LOC374395	0.313496624	0.007788018
ZNF511	0.587662304	0.00780958
FES	-0.32214911	0.00781318
KRTAP10-4	-2.567890043	0.007817072
ARTN	-1.847728247	0.007819029
PRR20D	-1.110465238	0.007833174
TP53INP2	0.918440374	0.00783487
EXOSC3	0.976677527	0.007846564
AMPH	-2.009360665	0.007847876
DCN	-1.697319934	0.007855201
ASAP1	-0.51157414	0.00785876
VWA5A	1.397699046	0.007872954
KIN	-2.039480986	0.007879211
TRAIP	-1.561508906	0.007901256
LPAL2	-1.424258261	0.007904224
PCDHGA3	-1.509100426	0.007913928
C3orf50	1.188235701	0.007920943
CSAG3A	-2.023798042	0.007937722
RNF215	0.868684046	0.007942529
PAQR4	-1.488837248	0.007958322
MAPK9	0.800700216	0.007967643
HAGH	0.581388076	0.007984985
C9orf24	1.108196039	0.007992752
MAP2K3	-0.745726708	0.008008791
STH	-2.121567142	0.008013523
TEKT5	-2.05848539	0.008027422
HIST1H1T	0.965803734	0.008026873
BGN	-0.678666963	0.008032543
RPS6KB2	-0.69676372	0.008039288
SNORD88B	-0.94770006	0.008047514
SFPQ	0.957090684	0.008057685
FUT7	-1.258196247	0.008070191
VIT	-2.416236111	0.00807205
GNAL	-2.492552628	0.0080939
NR3C1	-1.578243117	0.008098243
POLG2	1.033916689	0.008125862
C5orf45	1.011354944	0.008132417
SLC10A4	1.315788994	0.008151699
FLJ16734	-1.753981274	0.008154007
AGAP2	1.071867286	0.008157946
CBL	0.701399708	0.008180574
POMZP3	1.109590943	0.008184848
OSBP	0.392043414	0.0081982
ABCC6	1.390505144	0.008221641
RASD2	-2.072983739	0.008225221
TMPRSS11F	0.83165356	0.008264579
NACA2	-0.814143396	0.008271535
AMAC1	-1.199377436	0.008294456
RPL3	0.291624488	0.008297401
PER2	0.678614616	0.00830689
MRPS18B	0.811690764	0.008306461
FGF6	0.624184856	0.008343938
ZNF274	0.536256838	0.008355553
NCLN	0.907270146	0.008356683
PDE5A	0.77105152	0.008361539
GTF3C2	0.39187279	0.008375197
FAM48B2	-2.882693444	0.008374822
KLK14	-2.25681013	0.008404992
CD68	1.070771003	0.008406801
DDX50	-0.290808294	0.008415294
ANGPTL1	1.034308271	0.008417484
STIM1	0.67454995	0.008451053
CTNNB1	0.692970624	0.008460782
PCDH9	-1.200484096	0.008479945
LOC441666	1.152125229	0.0084865
VASH2	0.961650926	0.008496382
DMRT1	1.211804182	0.00850517
SLC36A2	-2.902858409	0.008521187
SNORD20	0.665089691	0.008530402
FBXO7	0.925587502	0.00855191
IGSF11	-1.78535639	0.008551165
M6PR	-0.36872582	0.008569823
F7	-1.692473464	0.008572071
PACSIN2	-0.747095772	0.00858011
FLJ42102	-1.734563843	0.008581728
ANXA8L2	-2.389015493	0.008600293
PRAME	-1.934200611	0.0085986
POGK	-0.620544178	0.008607708
SLFN13	-0.472640044	0.008610327
SEMA6D	-2.583666102	0.008626012
F8	-2.270034775	0.008625424
IL28RA	-2.627017971	0.008654384
WDR17	1.052461978	0.008656299
FAHD2A	-1.125652857	0.008674254
PSORS1C2	-1.827353677	0.008684204
C9orf23	0.948230592	0.008700242
FAM163A	-2.79117676	0.008702187
RELN	0.581022738	0.008737589
CTSH	0.972706525	0.008739674
NCOR2	1.049115383	0.008761239
SRM	-0.599348582	0.00876554
ZNF618	0.739643169	0.00878867
YIPF6	0.53276159	0.008794869
LOC340156	1.005829055	0.008819435
H2AFY	0.96086275	0.008823705
ATP5H	0.36629936	0.00885705
HMMR	-1.819343363	0.008864359
CS	1.065327712	0.008887234
HNRPUL1	-0.308708686	0.008892296
FMN2	0.801947799	0.008905301
OR2V2	-1.838599246	0.008911723
SPOCK3	1.122954455	0.008908521
SHQ1	1.079725932	0.00892096
SRGAP1	1.787836595	0.008940282
TFAP2A	-2.54685023	0.008941444
NDUFB5	0.311313564	0.008956485
C17orf58	-1.404948583	0.008963489
PLB1	-1.447730115	0.008981387
ARPM2	-2.463109586	0.008993124
HLA-F	0.579981316	0.009004264
AMHR2	-2.534989088	0.009010052
C1QTNF1	-0.990995689	0.009027289
PITX2	-2.836648915	0.009026112
ATP2B3	-2.400690083	0.009041667
AMPD3	1.622556747	0.00904709
ABCG4	-2.359896632	0.009054221
ASB11	-2.627745715	0.009064289
TMPRSS13	0.854273442	0.009075842
MRGPRX1	-2.477715893	0.009081336
SOX11	-2.331017426	0.009108766
ZC3H12C	1.169243824	0.009111058
CHSY3	-2.385859168	0.00912933
OR2Y1	-2.358254872	0.009133345
KIF3C	-1.718328309	0.00915174
SEC22A	0.565374624	0.009156042
MMP20	0.653107453	0.009173955
PKN1	0.687715756	0.009180373
MND1	-1.326532009	0.009206171
CLU	-2.746241721	0.00920607
AK1	0.648765604	0.00922753
RPS6KB2	0.664514694	0.00923257
ZNF607	-0.757181714	0.009246075
KIAA0247	0.452071516	0.009265771
CLSTN2	-2.229164728	0.009281392
AKR1C2	0.939746333	0.009282662
PRMT1	0.684917238	0.009292957
SFTPC	-1.563355603	0.0093001
FAM43B	-2.397732044	0.00932057
SPACA5B	-2.979780996	0.009322304
COL11A1	-1.294456539	0.00933617
ZNF274	0.662851714	0.009346643
TMEM20	-2.062058885	0.00937007
FAM18B2	0.684929433	0.009371742
TSPAN17	0.62625725	0.009390355
CUGBP2	-0.353903156	0.009396238
HSPA1A	0.829721678	0.00942231
C15orf23	-2.017968578	0.009423955
GABBR2	-2.712673597	0.009458405
CLDND2	0.94595823	0.009461768
WBSCR16	1.142050138	0.009492337
KIF3B	-1.527911066	0.009494267
C6orf57	1.127988524	0.009509061
LOC401286	-1.958359841	0.009513623
BTG3	0.844839272	0.009560063
GSG2	-2.366870893	0.009559546
TNFSF9	1.025204159	0.00957279
C19orf24	-1.01627721	0.009580173
SOBP	-2.186003858	0.009590363
EPC1	-0.52649854	0.009608256
MRI1	-0.482521494	0.009617559
CASP5	-2.26062445	0.009620187
GALNTL6	-2.236006229	0.009635849
ANKRD52	-0.550555738	0.009647898
MVP	0.350484718	0.009663286
FZD7	1.584848195	0.009660099
KBTBD6	1.421572911	0.009686413
MPZL2	1.307425235	0.009690667
DDIT4L	-2.700045752	0.009701502
ITIH5	-2.599917795	0.009705219
ZNF408	-0.379453528	0.009731946
ANKRD16	0.890894802	0.009742293
HPD	0.770352192	0.009761805
C14orf182	-1.595437052	0.009764682
FBXO28	1.059706637	0.009781893
SLC10A7	1.370127004	0.0097868
TMOD1	-2.37033674	0.009800688
WDR46	-0.337872934	0.009799345
PDCD5	0.792460706	0.009806667
LOC157627	-2.897391285	0.009816008
NSL1	-1.163477618	0.009831849
PFKP	-0.277698862	0.009836495
CELSR1	-1.743602476	0.009872054
MAP3K7IP1	-0.899839386	0.009881601
AP3M1	-0.878949456	0.009914372
SHANK2	-2.377070046	0.009921634
TRIM39	0.827871752	0.009941101
MMP19	-1.580985761	0.009943577
ANKRD11	0.454054434	0.009964536
CCDC16	0.683609632	0.009967011
LCMT1	0.608939058	0.009988715
ZFC3H1	0.82658964	0.00999969
ZRSR2	1.027837178	0.010011279
LGALS4	1.032420335	0.010031531
ARMC9	-0.975930452	0.010047611
C14orf93	0.487485912	0.010049532
USP14	0.647472504	0.010077946
CDC42SE1	1.106138125	0.010078803
MMS19L	0.572429844	0.010098143
VPS13C	0.603254946	0.010109055
PWWP2B	0.491472258	0.010132574
ERGIC3	0.78143745	0.010136437
ATG12	0.449994136	0.010148525
BCL11B	-1.875415065	0.010157651
AGBL2	-2.331124794	0.010182126
ESD	0.732055672	0.01018349
HNRNPAB	-0.360962484	0.010207911
C13orf30	-3.34345097	0.010210041
KCNC3	1.167796878	0.010234277
ST6GAL2	-2.777443486	0.010228998
FGL1	-2.778442388	0.010234339
LOC728855	0.56775965	0.010232565
SEPX1	0.686177462	0.010275903
MCM8	0.78369449	0.010283195
FKSG30	-2.541063317	0.010300448
NOXA1	0.40426067	0.010304856
HCST	-0.398579558	0.010318199
KIAA1217	-2.485152269	0.010318499
RNF216L	-1.688909688	0.010316666
FAM184A	-1.619925908	0.01033209
LUZP2	-2.011462801	0.010359459
FAM174A	-0.677046332	0.010374707
ANKRD20A4	-0.561180911	0.010398312
C10orf67	-1.970829223	0.010405813
DLX4	-1.202423995	0.010420848
BCL2L13	0.956433077	0.010426741
TMEM179B	0.55545127	0.010452029
PCDH8	1.347457722	0.010455029
ZXDC	0.908588243	0.010465388
DNAH10	-2.619945087	0.010468262
FLT1	1.255161984	0.010484632
SLC22A20	-1.1762519	0.010484635
HPN	-1.104754485	0.01052303
CLDN18	-2.377553999	0.010536704
SYAP1	0.739758458	0.01056794
GNE	0.842102155	0.010568622
CLK3	-0.778148189	0.01058792
