Gene	Value
ARPC1A	-0.127455892
ARPC1B	-0.105290485
ARPC2	0.135327006
ARPC3	-0.111996124
ARPC4	-0.132677681
ARPC5	0.084668202
ARPC5L	-0.093543919
ARPIN	0.240578723
ARPP19	0.05338194
ARPP21	-0.009239123
ARR3	-0.032807002
ARRB1	-0.020425333
ARRB2	-0.048214264
ARRDC1	-0.18173621
ARRDC1-AS1	-0.268150878
ARRDC2	-0.161565961
ARRDC3	0.263992456
ARRDC3-AS1	0.027111345
ARRDC4	0.11451357
ARRDC5	0.036719869
ARSA	-0.199776309
ARSB	0.248820656
ARSD	-0.046531981
ARSF	0.033079213
ARSG	-0.155983734
ARSH	0.113214918
ARSI	0.081005089
ARSJ	0.206474348
ARSK	0.238567785
ART1	0.042691932
ART3	0.10515909
ART4	0.033273558
ART5	0.026017027
ARTN	-0.109374381
ARV1	-0.060796098
ARVCF	-0.135195245
ARX	0.027215162
AS3MT	-0.120719735
ASAH1	0.118647966
ASAH2	0.112153007
ASAH2B	0.123096782
ASAP1	0.438820158
ASAP1-IT1	0.058547553
ASAP2	-0.004421071
ASAP3	0.010367792
ASB1	0.013188173
ASB10	-0.056497014
ASB11	0.060728122
ASB12	-0.012444825
ASB13	-0.205942421
ASB14	0.018772646
ASB15	-0.010907773
ASB16	-0.205057957
ASB16-AS1	-0.239972971
ASB17	-0.008218269
ASB18	0.013456866
ASB2	0.040729314
ASB3	0.08774437
ASB4	0.00378144
ASB5	-0.158179515
ASB6	-0.152108736
ASB7	0.054570275
ASB8	0.06104767
ASB9	0.01597955
ASCC1	0.135829212
ASCC2	-0.140105345
ASCC3	0.339872863
ASCL1	-0.120934196
ASCL2	0.134865821
ASCL3	0.0013545
ASCL4	0.133717859
ASF1A	0.192078118
ASF1B	-0.152421751
ASGR1	-0.142396049
ASGR2	0.016678358
ASH1L	0.210171095
ASH1L-AS1	-0.160295727
ASH2L	-0.082469568
ASIC1	-0.126566494
ASIC2	-0.064407044
ASIC3	-0.266487904
ASIC4	-0.077697286
ASIC5	0.008367719
ASIP	-0.067809625
ASL	-0.167930862
ASMT	-0.129630788
ASMTL	-0.259708912
ASMTL-AS1	-0.217038126
ASNS	-0.11219517
ASNSD1	0.089888315
ASPA	0.020127471
ASPDH	-0.029897498
ASPG	-0.039495509
ASPH	0.394305711
ASPHD1	-0.241311974
ASPHD2	0.045489928
ASPM	0.08453952
ASPN	0.214691573
ASPRV1	-0.128487541
ASPSCR1	-0.320623478
ASRGL1	0.07017091
ASS1	0.113743595
ASTE1	0.116908289
ASTL	-0.137104779
ASTN1	0.046380462
ASTN2	-0.08596103
ASXL1	0.15144952
ASXL2	0.282816171
ASXL3	0.10799594
ASZ1	0.007270246
ATAD1	0.145376334
ATAD2	0.147955263
ATAD2B	0.233230079
ATAD3A	-0.253634324
ATAD3B	-0.206985971
ATAD3C	-0.108383062
ATAD5	0.139386634
ATAT1	-0.196593809
ATCAY	0.041877872
ATE1	0.235826684
ATF1	0.258183657
ATF2	0.226063084
ATF3	0.175769798
ATF4	-0.13147888
ATF5	-0.187313014
ATF6	0.206640748
ATF6B	-0.046639143
ATF7	0.168236443
ATF7IP	0.214999489
ATF7IP2	0.058924998
ATG10	-0.024641696
ATG101	-0.2198304
ATG12	0.052450718
ATG13	-0.128701459
ATG14	0.143301107
ATG16L1	0.090675348
ATG16L2	-0.177468282
ATG2A	-0.163293295
ATG2B	0.21363789
ATG3	0.099798745
ATG4A	0.14442117
ATG4B	-0.305437722
ATG4C	0.219558092
ATG4D	-0.419599469
ATG5	0.253455428
ATG7	0.055716398
ATG9A	-0.188288171
ATG9B	-0.169718877
ATIC	0.058010798
ATL1	0.089087956
ATL2	0.13915821
ATL3	0.258597451
ATM	0.295256179
ATMIN	0.157890505
ATN1	-0.290208195
ATOH1	-0.04678782
ATOH7	-0.108178554
ATOH8	-0.071165531
ATOX1	-0.108002758
ATP10A	0.18449903
ATP10B	0.013138427
ATP10D	0.229170014
ATP11A	0.099881375
ATP11AUN	-0.067677631
ATP11B	0.264279663
ATP11C	0.297484222
ATP12A	0.083474841
ATP13A1	-0.285693766
ATP13A2	-0.251909482
ATP13A3	0.283219077
ATP13A4	0.162361113
ATP13A5	0.186175965
ATP1A1	0.056087073
ATP1A1-AS1	-0.18242507
ATP1A2	-0.018882776
ATP1A3	-0.124519064
ATP1A4	0.038605135
ATP1B1	0.088241906
ATP1B2	0.027186424
ATP1B3	0.02241509
ATP1B4	0.011541157
ATP23	-0.039460342
ATP2A1	-0.183275504
ATP2A2	0.169605255
ATP2A3	-0.066029608
ATP2B1	0.267458313
ATP2B1-AS1	0.05523601
ATP2B2	-0.010999878
ATP2B3	0.075705986
ATP2B4	0.213038475
ATP2C1	0.287300505
ATP2C2	-0.033511403
ATP4A	0.035174388
ATP4B	0.014248451
ATP5F1A	-0.100907281
ATP5F1B	-0.092459653
ATP5F1C	-0.03725069
ATP5F1D	-0.391160924
ATP5F1E	-0.147316806
ATP5F1EP2	-0.079210803
ATP5IF1	-0.300289664
ATP5MC1	-0.214906456
ATP5MC2	-0.296834698
ATP5MC3	-0.126885256
ATP5MD	-0.163748727
ATP5ME	-0.269121328
ATP5MF	-0.208799361
ATP5MG	-0.05812757
ATP5MGL	-0.04760434
ATP5MPL	-0.173297247
ATP5PB	-0.063690355
ATP5PD	-0.233570005
ATP5PF	-0.098303982
ATP5PO	-0.086609887
ATP6AP1	-0.17827249
ATP6AP1L	-0.038979251
ATP6AP2	0.218204664
ATP6V0A1	-0.025847507
ATP6V0A2	0.061292039
ATP6V0A4	0.194540869
ATP6V0B	-0.289866033
ATP6V0C	-0.22687464
ATP6V0D1	-0.055620244
ATP6V0D2	0.151324818
ATP6V0E1	-0.112079056
ATP6V0E2	-0.137139963
ATP6V0E2-AS1	-0.044729262
ATP6V1A	0.28663816
ATP6V1B1	-0.259505863
ATP6V1B2	0.147642027
ATP6V1C1	0.336842632
ATP6V1C2	0.052834606
ATP6V1D	0.053998611
ATP6V1E1	-0.05121542
ATP6V1E2	-0.112794815
ATP6V1F	-0.288760765
ATP6V1G1	-0.143217342
ATP6V1G2	-0.063279839
ATP6V1G3	0.022116724
ATP6V1H	0.096015605
ATP7A	0.23268223
ATP7B	0.084597987
ATP8A1	0.067414126
ATP8A2	0.177004149
ATP8B1	0.075497264
ATP8B2	0.140461717
ATP8B3	-0.111684259
ATP8B4	0.165374093
ATP8B5P	-0.048558564
ATP9A	0.216716203
ATP9B	-0.033536674
ATPAF1	-0.164674712
ATPAF2	-0.236619504
ATPSCKMT	0.097572522
ATR	0.290575218
ATRAID	-0.260396212
ATRIP	-0.191911822
ATRN	0.255455445
ATRNL1	0.027064666
ATRX	0.262501782
ATXN1	0.325996516
ATXN10	-0.020570379
ATXN1L	0.214811042
ATXN2	-0.036147753
ATXN2L	-0.181645863
ATXN3	0.226507328
ATXN3L	-0.005071342
ATXN7	0.306413555
ATXN7L1	0.099952564
ATXN7L2	-0.241765323
ATXN7L3	-0.137219284
ATXN7L3B	0.115416736
ATXN8OS	0.05682061
AUH	0.054655835
AUNIP	0.002995188
AUP1	-0.303967256
AURKA	0.024477559
AURKAIP1	-0.358356197
AURKAP1	0.009738396
AURKB	-0.083735537
AURKC	-0.121005987
AUTS2	0.128315899
AVEN	-0.03162723
AVIL	-0.01105548
AVL9	0.181506024
AVP	-0.031976957
AVPI1	-0.226496103
AVPR1A	0.278253942
AVPR1B	0.082192462
AVPR2	-0.109745113
AWAT1	-0.04916682
AWAT2	0.137770253
AXDND1	0.017984995
AXIN1	-0.200586576
AXIN2	-0.022073112
AXL	0.242490791
AZGP1	-0.04979034
AZI2	0.142931054
AZIN1	0.366462776
AZIN2	-0.13215015
AZU1	-0.199960662
B2M	0.081498766
B3GALNT1	0.006782661
B3GALNT2	0.18164992
B3GALT1	0.117288381
B3GALT2	0.193634896
B3GALT4	-0.270021834
B3GALT5	0.187649932
B3GALT5-AS1	0.117565306
B3GALT6	-0.254173283
B3GAT1	0.130576763
B3GAT2	0.072338316
B3GAT3	-0.345234028
B3GLCT	0.171757748
B3GNT2	0.297765429
B3GNT3	0.139577801
B3GNT4	0.022515399
B3GNT5	0.220295857
B3GNT6	-0.011010312
B3GNT7	0.148973307
B3GNT8	-0.26270749
B3GNT9	-0.071765406
B3GNTL1	-0.260169123
B4GALNT1	0.032069265
B4GALNT2	0.113652646
B4GALNT3	-0.05347126
B4GALNT4	-0.326744754
B4GALT1	0.149768644
B4GALT2	-0.228631248
B4GALT3	-0.019890102
B4GALT4	0.079657995
B4GALT5	0.378508271
B4GALT6	0.056649333
B4GALT7	-0.246053712
B4GAT1	-0.22293256
B9D1	-0.208394525
B9D2	-0.300389591
BAALC	0.19142736
BAALC-AS2	-0.107842001
BAAT	-0.029348919
BABAM1	-0.320299712
BABAM2	0.059344458
BABAM2-AS1	-0.131861208
BACE1	0.161983716
BACE2	0.19863968
BACH1	0.40540398
BACH2	0.266001046
BAD	-0.361894415
BAG1	-0.329958656
BAG2	0.139804398
BAG3	-0.053991723
BAG4	0.109482798
BAG5	0.254043674
BAG6	-0.25867994
BAGE	0.023629562
BAGE2	0.210150899
BAHCC1	-0.00326833
BAHD1	-0.113005067
BAIAP2	-0.335101124
BAIAP2-DT	-0.245020332
BAIAP2L1	-0.002845697
BAIAP2L2	-0.130976255
BAIAP3	-0.028036757
BAK1	-0.112820478
BAMBI	0.234543268
BANF1	-0.175736936
BANF2	0.002475392
BANK1	0.160424039
BANP	-0.23348148
BAP1	-0.193542552
BARD1	0.262745785
BARHL1	-0.020545782
BARHL2	0.038087134
BARX1	0.076765398
BARX2	-0.084511765
BASP1	-0.038983308
BASP1-AS1	-0.062491802
BATF	-0.137229995
BATF2	0.010487477
BATF3	0.005142473
BAX	-0.255546639
BAZ1A	0.254444586
BAZ1B	0.078047208
BAZ2A	0.055288013
BAZ2B	0.133967912
BBC3	-0.278222258
BBIP1	-0.064177802
BBOF1	0.067452651
BBOX1	0.070356974
BBS1	-0.089389688
BBS10	0.176844254
BBS12	0.046594316
BBS2	-0.045085606
BBS4	-0.146231192
BBS5	-0.102223937
BBS7	0.06527391
BBS9	0.152979129
BBX	0.303512924
BCAM	-0.259301335
BCAN	-0.216311915
BCAP29	0.102148142
BCAP31	-0.207010368
BCAR1	-0.224170427
BCAR3	0.05881213
BCAR4	0.038023923
BCAS1	-0.069890907
BCAS2	0.028549583
BCAS3	-0.052703268
BCAS4	-0.073675887
BCAT1	0.284995367
BCAT2	-0.387158241
BCCIP	0.069555916
BCDIN3D	-0.022726775
BCDIN3D-AS1	0.012884472
BCHE	0.071028637
BCKDHA	-0.238127061
BCKDHB	0.139136978
BCKDK	-0.097879375
BCL10	0.186853904
BCL11A	0.058463282
BCL11B	0.134450239
BCL2	-0.114055722
BCL2A1	0.108704889
BCL2L1	-0.053883858
BCL2L10	0.000143894
BCL2L11	0.188253099
BCL2L12	-0.168779716
BCL2L13	0.068152032
BCL2L14	0.072556421
BCL2L15	0.030686397
BCL2L2	0.068725184
BCL3	-0.126030902
BCL6	0.022453763
BCL6B	0.06557478
BCL7A	-0.055346624
BCL7B	-0.244378861
BCL7C	-0.263483226
BCL9	0.120304743
BCL9L	0.144392423
BCLAF1	0.284241007
BCLAF3	0.237329701
BCO1	0.001109473
BCO2	0.019583273
BCOR	0.127174473
BCORL1	-0.053864655
BCORP1	-0.068778293
BCR	-0.056590072
BCRP3	-0.055757321
BCS1L	-0.2336176
BCYRN1	-0.019004776
BDH1	-0.183274033
BDH2	-0.010581313
BDKRB1	0.080509091
BDKRB2	0.161143364
BDNF	-0.004028927
BDNF-AS	-0.139662026
BDP1	0.203681172
BEAN1	0.179187869
BECN1	-0.081399827
BEGAIN	-0.228276074
BEND2	0.00942758
BEND3	0.193071811
BEND3P3	0.117820511
BEND4	0.136840733
BEND5	-0.140380075
BEND6	0.213121687
BEND7	0.056774833
BEST1	0.158474611
BEST2	-0.081009177
BEST3	0.086778022
BEST4	-0.238973533
BET1	0.005046793
BET1L	-0.19489171
BET1P1	0.019186235
BEX1	-0.10503654
BEX2	-0.098037935
BEX3	-0.171929398
BEX4	0.032344318
BEX5	-0.016483204
BFAR	0.052638228
BFSP1	0.154657516
BFSP2	0.009512104
BGLAP	-0.262719973
BGN	0.061363786
BHLHA15	-0.030679186
BHLHB9	0.027303286
BHLHE22	0.197294868
BHLHE23	0.030286196
BHLHE40	-0.05272276
BHLHE41	0.127204433
BHMT	0.009032148
BHMT2	0.141072374
BICC1	0.374141528
BICD1	0.179834944
BICD2	0.20039609
BICDL1	-0.27478115
BICDL2	-0.138200643
BICRA	-0.243387988
BICRAL	0.181717322
BID	-0.053150271
BIK	-0.007391664
BIN1	-0.042516369
BIN2	0.137606016
BIN3	-0.23686757
BIN3-IT1	0.047137172
BIRC2	0.294825001
BIRC3	0.137094001
BIRC5	-0.139803578
BIRC6	0.291571067
BIRC7	0.003301507
BIRC8	-0.004513029
BIVM	0.065886749
BLCAP	-0.05419529
BLID	0.037029528
BLK	0.006674646
BLM	-0.006778356
BLMH	0.09525827
BLNK	0.110242982
BLOC1S1	-0.348782759
BLOC1S2	0.042855552
BLOC1S3	-0.058356986
BLOC1S4	-0.241248335
BLOC1S5	0.149853645
BLOC1S6	0.216057266
BLVRA	-0.145484104
BLVRB	-0.173476584
BLZF1	0.175282585
BMERB1	0.05529106
BMF	-0.017754398
BMI1	0.122595338
BMP1	0.002271816
BMP10	0.020588423
BMP15	0.068809282
BMP2	0.09523253
BMP2K	0.336919163
BMP3	0.175446546
BMP4	0.123022849
BMP5	-0.031724694
BMP6	0.080049808
BMP7	0.18908418
BMP8A	0.0612738
BMP8B	0.212258917
BMPER	-0.014598475
BMPR1A	0.256580885
BMPR1B	-0.082684874
BMPR2	0.287813756
BMS1	0.080388057
BMS1P1	0.100526198
BMS1P2	0.043422135
BMS1P20	0.103546192
BMS1P4	0.110549015
BMT2	0.215396235
BMX	0.030989023
BNC1	0.077824689
BNC2	0.320549395
BNIP1	-0.190855974
BNIP2	0.234743527
BNIP3	0.087878778
BNIP3L	0.066386669
BNIP5	-0.062765804
BNIPL	-0.117688515
BOC	0.081868359
BOD1	-0.189732896
BOD1L1	0.189136529
BOK	-0.117769387
BOLA1	-0.255041575
BOLA2	-0.213485685
BOLA3	-0.156624229
BOLL	0.022252619
BOP1	-0.019468831
BORA	0.031837658
BORCS5	-0.083576445
BORCS6	-0.2319788
BORCS7	-0.005497285
BORCS8	-0.266978268
BORCS8-MEF2B	-0.253331868
BPESC1	-0.111833843
BPGM	0.146503298
BPHL	-0.046457484
BPI	0.045964999
BPIFA1	0.056770671
BPIFA2	0.063153143
BPIFA3	-0.03008082
BPIFA4P	0.140065919
BPIFB1	-0.063549275
BPIFB2	0.000521446
BPIFB3	-0.038105029
BPIFB4	-0.04091537
BPIFB6	-0.074166229
BPIFC	0.00042125
BPNT1	0.109268268
BPTF	0.107264212
BPY2	-0.0464049
BRAF	0.135661789
BRAP	-0.054587802
BRAT1	-0.407745416
BRCA1	0.050186818
BRCA2	0.228828225
BRCC3	0.21744045
BRD1	-0.067188948
BRD2	-0.106534582
BRD3	0.094632259
BRD3OS	-0.143933438
BRD4	-0.014742774
BRD7	0.024020982
BRD7P3	-0.01257856
BRD8	-0.184046866
BRD9	-0.189181842
BRDT	-0.002788645
BRDTP1	0.005109643
BRF1	-0.305885446
BRF2	-0.190015649
BRI3	-0.100080912
BRI3BP	-0.066223547
BRICD5	-0.309494852
BRINP1	0.033401597
BRINP2	-0.124518362
BRINP3	0.150139621
BRIP1	0.029407399
BRIX1	0.006778446
BRK1	-0.040506552
BRMS1	-0.300787804
BRMS1L	0.29673107
BROX	0.303589937
BRPF1	-0.083649941
BRPF3	0.149305809
BRS3	-0.037963599
BRSK1	-0.280957279
BRSK2	-0.109734124
BRWD1	0.181127924
BRWD3	0.263574691
BSCL2	-0.26907734
BSDC1	-0.178454807
BSG	-0.348265703
BSN	-0.055289456
BSND	-0.054489909
BSPH1	0.045246451
BSPRY	0.073735887
BST1	0.195409627
BST2	-0.113835141
BSX	-0.009552806
BTAF1	0.30165972
BTBD1	0.047419486
BTBD10	0.133671284
BTBD11	0.19301659
BTBD16	-0.109506606
BTBD17	0.016947319
BTBD18	0.060571142
BTBD19	0.185684629
BTBD2	-0.357069744
BTBD3	0.202390734
BTBD6	-0.301858888
BTBD7	0.25074036
BTBD8	0.165632529
BTBD9	0.033132658
BTC	0.011446765
BTD	0.009107394
BTF3	-0.217048579
BTF3L4	0.063548203
BTF3P11	-0.05792663
BTG1	0.13497549
BTG2	-0.006907372
BTG3	0.11539443
BTG4	0.020892035
BTK	0.175882342
BTLA	0.157907809
BTN1A1	0.117812405
BTN2A1	-0.022093578
BTN2A2	0.020232774
BTN2A3P	0.105270386
BTN3A1	0.092102321
BTN3A2	0.035485567
BTN3A3	0.102776443
BTNL2	0.040137658
BTNL3	0.069205641
BTNL8	0.085013731
BTNL9	-0.020581595
BTRC	0.032936371
BUB1	0.060919218
BUB1B	0.010425466
BUB3	-0.035296294
BUD13	0.096115229
BUD23	-0.277294345
BUD31	-0.255283469
BVES	0.191908288
BYSL	-0.115675579
BZW1	0.018743934
BZW2	0.09828541
C1D	0.007778314
C1GALT1	0.116043468
C1GALT1C1	0.144187657
C1GALT1C1L	-0.026962712
C1QA	-0.025227726
C1QB	0.020323428
C1QBP	-0.052335623
C1QC	0.003953223
C1QL1	-0.239972018
C1QL2	0.08164634
C1QL3	0.105289192
C1QL4	-0.012718397
C1QTNF1	0.012044746
C1QTNF12	-0.132468212
C1QTNF2	0.052066276
C1QTNF3	0.187094904
C1QTNF4	-0.108867827
C1QTNF6	0.082105078
C1QTNF7	0.143221633
C1QTNF8	-0.05864023
C1QTNF9	-0.044680674
C1QTNF9B	-0.040108235
C1R	0.123191137
C1RL	0.034006027
C1RL-AS1	0.048386429
C1S	0.19943645
C2	0.107206168
C2CD2	0.177878167
C2CD2L	0.014852135
C2CD3	0.157013909
C2CD4A	0.189246102
C2CD4B	0.126699097
C2CD4C	-0.23808305
C2CD4D	-0.197854651
C2CD4D-AS1	0.127110784
C2CD5	-0.029619591
C2CD6	0.14696403
C3	0.145516619
C3AR1	0.201079654
C3P1	-0.020203098
C4A	0.099514036
C4BPA	0.069435946
C4BPB	0.064007295
C5	0.04108225
C5AR1	0.139235737
C5AR2	-0.118390033
C6	0.013402233
C7	0.035671907
C8A	-0.030577627
C8B	0.070332509
C8G	-0.237668983
C9	0.043385834
CA1	-0.012512876
CA10	0.073119374
CA11	-0.145769079
CA12	-0.012918087
CA13	0.06600509
CA14	-0.184285014
CA2	0.106834421
CA3	-0.040719962
CA4	-0.016390652
CA5A	-0.056238115
CA5B	0.253280455
CA5BP1	-0.057582097
CA6	0.007582976
CA7	-0.078727693
CA8	0.140203118
CA9	0.060839905
CAAP1	0.146156127
CAB39	0.433380223
CAB39L	0.024817418
CABCOCO1	0.009432146
CABIN1	-0.036369452
CABLES1	0.055197702
CABLES2	-0.061567899
CABP1	-0.119393768
CABP2	0.015441902
CABP4	-0.005671147
CABP5	0.008773754
CABP7	-0.082247123
CABS1	-0.00599374
CABYR	-0.107779825
CACFD1	-0.17313617
CACHD1	0.002922701
CACNA1A	0.012781552
CACNA1B	0.028643152
CACNA1C	0.076983404
CACNA1D	0.026323649
CACNA1E	0.125096393
CACNA1F	-0.128533688
CACNA1G	0.10776465
CACNA1H	-0.046879968
CACNA1I	0.028347574
CACNA1S	0.00377631
CACNA2D1	0.223036314
CACNA2D2	-0.166168483
CACNA2D3	0.019777994
CACNA2D4	-0.084573947
CACNB1	-0.175615818
CACNB2	-0.11825472
CACNB3	-0.232590738
CACNB4	0.209806948
CACNG1	0.011140406
CACNG2	-0.057111518
CACNG3	0.029529777
CACNG4	-0.005782923
CACNG5	0.044637019
CACNG6	0.003495573
CACNG7	-0.059862638
CACNG8	-0.018257727
CACTIN	-0.293972404
CACUL1	0.381147732
CACYBP	0.022338113
CAD	0.021586377
CADM1	0.148124056
CADM2	-0.063677996
CADM3	0.036315213
CADM4	-0.19510059
CADPS	0.02814577
CADPS2	0.160852574
CAGE1	0.017692098
CALB1	0.096694393
CALB2	0.058401473
CALCA	0.006952022
CALCB	-0.004043664
CALCOCO1	-0.057414782
CALCOCO2	0.008616016
CALCR	0.171661475
CALCRL	0.194886039
CALD1	0.262385996
CALHM1	-0.132411161
CALHM2	-0.076368424
CALHM3	-0.097081816
CALHM4	0.023023976
CALHM5	0.297328357
CALHM6	0.055867448
CALM1	0.082059313
CALM2	0.084684458
CALM3	-0.258471576
CALML3	-0.006342655
CALML4	-0.072787606
CALML5	0.113212251
CALML6	-0.170324438
CALN1	0.132034367
CALR	-0.161414162
CALR3	-0.003685847
CALU	0.255682688
CALY	-0.18224395
CAMK1	-0.255537966
CAMK1D	0.263401459
CAMK1G	-0.029357921
CAMK2A	0.11021247
CAMK2B	-0.196264829
CAMK2D	0.236936076
CAMK2G	0.080335126
CAMK2N1	0.013684177
CAMK2N2	-0.251663692
CAMK4	0.188951958
CAMKK1	-0.041662944
CAMKK2	-0.137642097
CAMKMT	-0.069189722
CAMKV	0.014446923
CAMLG	-0.178166298
CAMP	0.028560375
CAMSAP1	0.165080404
CAMSAP2	0.310224806
CAMSAP3	-0.346156406
CAMTA1	0.000516009
CAMTA2	-0.203944415
CAND1	0.223614965
CAND2	-0.13446727
CANT1	-0.138574275
CANX	0.122467152
CAP1	0.30102986
CAP2	0.169384779
CAPG	-0.116186476
CAPN1	-0.13801114
CAPN10	-0.325737754
CAPN11	-0.09044865
CAPN12	-0.180310567
CAPN13	0.06830478
CAPN14	0.021342437
CAPN15	-0.254376706
CAPN2	0.215140821
CAPN3	-0.003483753
CAPN5	-0.007343384
CAPN6	-0.021967083
CAPN7	0.195682133
CAPN8	-0.089632888
CAPN9	-0.010980981
CAPNS1	-0.256852819
CAPNS2	0.065053164
CAPRIN1	0.115682539
CAPRIN2	0.011614414
CAPS	-0.144090439
CAPS2	0.060992426
CAPSL	0.062192757
CAPZA1	0.144565391
CAPZA2	0.226574567
CAPZA3	-0.030371943
CAPZB	-0.082418439
CARD10	-0.234410435
CARD11	0.055364638
CARD14	0.032123567
CARD16	0.049259193
CARD17	0.121038003
CARD18	0.025315687
CARD19	-0.250948796
CARD6	0.245903725
CARD8	0.133901169
CARD9	-0.044125227
CARF	0.147188092
CARHSP1	-0.072540655
CARM1	-0.153137194
CARMIL1	0.285422319
CARMIL2	-0.12280881
CARMIL3	-0.156830149
