gene,log2FC,pvalue
MT1G,-2.410529888,0.138221298
MT2A,-2.211005551,1.85E-96
C16orf70,0.049004303,0.702358726
GOT2,0.006673787,0.948384968
DOK4,-0.120887588,0.329019695
CLYBL,-0.531730049,0.090068823
TMTC4,0.408192871,0.002778015
RAP2A,0.098731136,0.321756685
ABCC4,-0.551662851,8.52E-06
EFNB2,-0.498756199,0.176918422
TM9SF2,-0.13087757,0.201662483
C17orf53,-0.078553454,0.82885725
IRF1,0.500120106,0.002621423
UPF3B,-0.114035631,0.459548804
RNF113A,-0.098121871,0.562833265
SEPTIN6,0.071638918,0.636805907
TMEM255A,0.171841795,0.821819107
NDUFA1,-0.20615172,0.045636486
DMAC2L,-0.338246685,0.041337447
BMP4,-0.157836511,0.252979309
PTGER2,-0.232620967,0.15510706
FAM193A,0.047220126,0.636523172
GRK4,0.291668591,0.097774993
SOX9,1.323594073,1.68E-14
TEKT3,1.500688651,0.056307257
HS3ST3B1,-0.896911092,1.32E-12
SLC25A35,-0.057508168,0.800816006
MRPS7,0.024740747,0.840785359
GGA3,-0.081393144,0.526501703
ARMC7,-0.101336674,0.525258078
NUP85,-0.181963044,0.119956774
SLC25A19,-0.364769704,0.165390747
MIF4GD,-0.284878934,0.078095738
NT5C,-0.187289156,0.183019901
MSTO1,-0.001621571,0.991650608
TTF1,0.085764096,0.505421176
GTF3C4,0.076063889,0.4105529
DDX31,-0.194014951,0.212078614
PPP1R12C,-0.657429835,2.68E-11
MBOAT7,0.067937087,0.435803272
SRMS,-1.058554218,0.421479505
OPRL1,0.368832652,0.145310165
SLC2A4RG,0.4001218,4.35E-05
FNDC11,0.745656114,0.288961669
PPDPF,0.058557976,0.533722722
PLGLB2,-0.066683169,0.831550737
CHCHD5,0.205155733,0.240711269
PAX8,0.550329404,0.203379702
INSIG2,-0.398531758,0.010958562
POLR1B,0.065457403,0.636326622
CCDC93,0.224371558,0.020264957
PSD4,0.177767612,0.429759738
SLC25A23,0.010510696,0.901463638
PSPN,-0.341787319,0.173369944
GTF2F1,0.122385919,0.19125813
ALKBH7,-0.097168227,0.554576741
CLPP,-0.108866815,0.328911248
TNFSF9,1.854734317,0.000984012
GRIA3,0.707409337,1.70E-07
THOC2,-0.651085902,9.66E-07
MED1,-0.005818561,0.94940124
RPL23,0.03526378,0.664656469
ATG4C,0.085226306,0.569174659
C3,-0.078176149,0.293933359
SH2D3A,0.121563592,0.753271855
TRIP10,-0.182214267,0.115413597
GPR108,0.012770716,0.89202648
TNFSF14,0.172048857,0.818950525
FOSB,-0.434998315,0.301339384
OPA3,-0.048988074,0.6766304
SNRPD2,0.016570886,0.84647067
RTN2,-0.366505458,0.014048823
EML2,-0.432964115,0.000819166
VASP,-0.459372493,0.001187838
SYMPK,-0.08238303,0.359005034
GPCPD1,0.564908215,5.53E-06
SDCBP2,-0.340962399,0.293647833
PANK2,-0.172568005,0.097266965
FAM182A,0.930068022,0.414704587
GZF1,-0.148109749,0.235433799
NAPB,-0.179143256,0.234954744
CENPB,-0.105296474,0.201318824
PSMF1,-0.140002986,0.093787942
DTD1,-0.098546282,0.389478876
RBCK1,0.044729602,0.603201392
TMX4,-0.121762867,0.33882691
STK35,0.211921994,0.05313369
SNRPB,-0.517826011,0.000245591
NRSN2,0.189072269,0.033772584
AP5S1,0.22760069,0.14719279
RRBP1,-0.06114126,0.593261231
BMP2,0.531722973,0.100176376
ZNF133,0.050542069,0.715358644
FLRT3,2.481212225,1.28E-25
PCSK2,-0.134626422,0.474616196
MKKS,0.174305925,0.103363532
BFSP1,-0.111682162,0.67009232
DSTN,-0.916740172,3.62E-33
SNRPB2,-0.083175955,0.453356756
MGME1,-0.201988794,0.151926685
LRRN4,-2.42105066,0.055512531
TBC1D20,0.034373909,0.71580918
ITPA,-0.303351845,0.010066192
MCM8,-0.111889421,0.526960854
TMEM74B,0.0063911,0.996869456
FAM110A,-0.199638235,0.419635962
MRPS26,-0.108768028,0.498654264
NCLN,-0.147274264,0.173486412
HNRNPR,0.10273012,0.335074251
ZNF436,0.503446377,6.03E-07
MAX,-0.137753186,0.250359321
ARMCX5,0.346199741,0.067203416
GDF5,1.292726883,4.97E-08
MMP24,-0.437846395,0.089537491
NECAB3,0.356993888,0.039171609
ID1,-0.639191779,0.073873723
RALY,0.449261892,8.36E-05
DYNLRB1,-0.136860522,0.208393812
EIF2S2,-0.039727316,0.643834167
ERGIC3,0.119361539,0.124961252
ROMO1,-0.12173681,0.330753252
CEP250,0.300966991,0.01872776
PLAGL2,-0.205450628,0.098407964
MMP24OS,-0.153877504,0.189798623
GRPR,1.14898658,0.204633025
KDM5C,-0.036473386,0.709853688
AMOT,2.374211261,5.69E-42
TMEM115,-0.382700906,6.45E-05
PSMB2,0.065804277,0.458340644
AGO3,-0.160868239,0.14805073
UROD,0.2138263,0.021083448
ST3GAL3,0.004723646,0.974127068
TMEM53,-0.58008718,0.004662297
HECTD3,0.156282066,0.091560995
KLC1,-0.330635027,0.014211811
XRCC3,-0.262571552,0.128313783
TUBGCP3,0.080887058,0.465279502
MCF2L,1.868937786,0.36128133
F10,-0.737406783,1.67E-05
PCID2,-0.068913364,0.460446163
PROZ,0.402867159,0.744554651
LRFN3,-0.217879821,0.08962765
CAPNS1,-0.161129399,0.047872569
PDCD2L,-0.171359182,0.666574995
RBM42,-0.225719634,0.035306767
UBA2,-0.303600354,0.005997618
HCST,-0.358952055,0.470053822
COX6B1,-0.004661766,0.961583412
THRA,-0.205895843,0.060158378
CCR7,-0.042467969,0.9141643
NR1D1,0.418404919,0.03783346
FRMD8,-0.41820532,0.000110109
PRDX5,0.00061256,0.99529051
BCL2L12,-0.14718299,0.420393506
IRF3,0.118505376,0.310818667
PRMT1,0.087494071,0.42994621
RRAS,-0.57208456,1.06E-09
PRRG2,0.327627585,0.661156101
SCAF1,-0.169094108,0.050764281
PRR12,0.005330632,0.960188663
TSKS,0.497474938,0.489133456
FLRT1,0.240773348,0.788416221
ASL,-0.469210112,0.00339402
SBDS,-0.378388573,0.00050439
STAT5A,-0.605179547,7.31E-10
WNK4,1.275484737,0.012961659
BECN1,-0.221886272,0.028509099
PRKCG,-1.749100564,0.295615371
TRAP1,0.223340313,0.111097922
GLIS2,0.164641911,0.207293005
NSRP1,-0.052038985,0.665439819
DNAJC8,0.186730015,0.033306476
AHDC1,0.651399749,2.16E-09
IFI6,-0.134678891,0.402239355
ZNF384,0.064983455,0.536851823
EMG1,-0.207165357,0.196366405
UXT,-0.16321838,0.160227547
CFP,0.075878717,0.942904033
ELK1,-0.394683836,0.00030622
TIMM17B,-0.0393751,0.7909915
PCNX4,0.246585845,0.004289292
ATG14,0.077880397,0.560011941
KTN1,-0.33428173,0.011402937
SIX1,0.23784741,0.061227545
RHOJ,1.215579372,8.41E-19
DLGAP5,0.029451234,0.948694843
L3HYPDH,-0.32783207,0.011429075
HSPA2,-2.458779202,1.16E-50
ZBTB1,-0.296256418,0.006051384
TRMT5,0.068216829,0.557124897
SGPP1,-0.286368839,0.016600536
PLEKHG3,0.005345917,0.978568508
PZP,-0.316484266,0.515148904
RHOT1,0.034550608,0.767080107
EVI2A,1.474661017,0.000575801
OMG,1.719932602,1.96E-17
LOC101927057,1.719932602,1.96E-17
WDR60,0.093854778,0.383526761
AIF1L,2.669054465,4.35E-26
FAM78A,1.098781656,0.014098991
NUP214,0.007643494,0.940481685
SLC10A3,-0.161535689,0.088635573
MAP2K2,-0.21768936,0.026164072
HNRNPH2,0.015271594,0.868341855
ARMCX1,0.279973309,0.022801839
TMEM35A,1.708053649,4.85E-24
TIMM8A,-0.033376953,0.881398749
ZC4H2,0.403614011,0.00850153
CANX,-0.036429746,0.696770553
INTS11,-0.053083706,0.59391941
IPPK,0.113253576,0.66081077
ZNF484,0.233808623,0.318660285
OMD,-1.81291245,3.72E-27
HIVEP3,-0.627108142,0.140520815
PPCS,-0.03734262,0.739097569
COX7C,-0.023847709,0.78380449
TRAF2,0.249825766,0.159625116
ABHD8,0.026050367,0.852935785
MASP1,0.228475043,0.006595037
ATP13A4,-0.358916173,0.705298471
HELB,0.121290619,0.745016626
RAP1B,-0.367139809,0.000338052
TSPAN8,-4.372994036,2.21E-12
RAB3IP,-0.649205084,0.029728027
PTPRB,0.410137166,0.412867843
DYRK2,-0.077049161,0.543305571
YEATS4,0.19442632,0.289772613
TAS2R3,-1.395686916,0.274987452
TAS2R4,0.440901227,0.621507136
TAS2R5,0.896351089,0.214392384
CRYGN,-0.693593761,0.343369639
LRRC61,0.572170089,0.433792544
IDUA,0.066095473,0.591437412
FGFRL1,0.061363018,0.64920149
TMEM175,0.09368097,0.507995133
AUNIP,0.616184694,0.379750808
PIN1,-0.175776289,0.087797304
FBXL12,-0.094146317,0.479018819
EMC1,0.063968474,0.513184035
PLA2G5,-0.10484217,0.850174135
UBR4,0.166100595,0.101456324
HP1BP3,0.035265945,0.645332422
ADGRE2,-0.382988684,0.275009929
SIN3B,0.135583485,0.119909948
SLC35E1,-0.121781842,0.294750928
EPS15L1,0.258757372,0.021590874
KLF2,0.357911803,0.131571241
UQCR11,-0.120098267,0.441625543
GFER,-0.187374617,0.276333663
SYNGR3,-1.050283271,0.001890696
PKMYT1,-0.477113774,0.515949309
WFIKKN1,-1.035390219,0.332353473
WDR24,0.020938948,0.899394239
FBXL16,-0.712736601,0.198500064
CHTF18,0.46640535,0.032830043
MACF1,-0.358498114,0.015256036
KIAA0754,-0.358498114,0.015256036
SMARCA4,0.093456846,0.327367751
KDM4B,-0.167548298,0.059695095
TICAM1,-0.35303993,0.009821529
METTL25,0.203820899,0.382448258
EMC6,0.265049547,0.661865998
METTL16,0.252810654,0.04078661
TUBA4A,1.561041436,1.86E-23
AAMP,-0.296891727,0.001569348
PNKD,0.028390013,0.816970316
TNFRSF19,0.883861362,1.29E-07
RNF6,-0.117715248,0.236211625
ECHS1,0.161346634,0.069060022
ZNF835,0.511104877,0.593880545
AKAP9,-0.061076562,0.526999735
GNG11,-0.336497242,0.007995566
SEM1,-0.133742785,0.188089661
HIP1,-0.477135321,2.64E-05
PTPN12,-0.401065376,2.53E-05
POR,-0.247038045,0.011544342
FGL2,0.776908217,9.90E-05
STYXL1,0.218524551,0.081479684
STEAP4,-5.207192597,4.55E-26
GNAI1,-0.539578803,3.36E-05
PMS2P3,-0.004759987,0.983425253
PEX1,0.143826341,0.242323778
MTERF1,-0.224916145,0.181234936
SGCE,-0.043126603,0.612612253
RBM48,-0.079112487,0.604630151
CASD1,0.072120605,0.578314226
ZNF780B,0.402164128,0.023741484
LRFN1,0.476349457,0.443873901
ZFP36,-0.340560969,0.000960137
SRD5A3,-0.432755563,0.015007199
RASL11B,-4.70277292,4.04E-10
PAICS,0.251459666,0.03237633
KDR,-1.927977441,0.106496167
PPAT,0.107590972,0.55709266
TUBGCP6,-0.278464126,0.003697524
ADM2,2.619341039,1.12E-15
DGCR6L,0.060675612,0.542632016
DGCR8,0.13192855,0.248378795
ASPHD2,-0.002835104,0.994034921
SDF2L1,-0.433596836,0.165789673
GAL3ST1,-1.181675733,0.217075764
YWHAH,0.022922696,0.808408312
C22orf24,2.70385641,0.158051458
POM121L9P,-1.29280545,7.02E-06
GNAZ,-0.524291209,0.405887207
MGAT3,-0.063551805,0.921396304
ADORA2A,0.597487343,0.663756429
ATF4,0.233430605,0.004491883
A4GALT,-0.528824613,3.52E-05
CDC42EP1,-0.070889872,0.444938177
APOL3,-0.429375053,0.006828556
MCHR1,5.325281847,2.09E-05
TPST2,-0.068459378,0.649962068
BAIAP2L2,-0.346993343,0.425656031
MPST,-0.973653713,1.83E-12
TST,-1.297287862,3.61E-21
APOL2,-0.263262464,0.033152298
RAC2,0.439444852,0.226910255
LIF,2.607463262,4.70E-22
C22orf23,-0.086103254,0.664986212
APOBEC3A,0.44716728,0.797379363
APOBEC3A_B,0.44716728,0.797379363
APOBEC3F,0.465287516,0.042584978
RIBC2,0.809328325,0.346488064
EMC4,0.022864352,0.812882087
RNF112,-0.37237467,0.272725067
SPECC1,0.878886193,9.37E-06
CPA4,2.26149541,9.47E-24
DOCK4,-0.099462776,0.388912089
POT1,-0.005876921,0.962262209
ATP6V1F,-0.007939323,0.936521384
LSM8,-0.013149876,0.923381724
CDHR3,0.338313831,0.139542319
PRKRIP1,0.222187683,0.080521048
VGF,-0.350777606,0.824131662
PODXL,0.629730573,0.302848881
FOXP2,0.020594505,0.852884064
STRIP2,0.701047881,0.011091301
IFT22,0.254551902,0.031208113
MKLN1,-0.029507625,0.747799566
DNAJB9,-0.175642388,0.097435718
FLNC,0.264221399,0.028100788
LRRC4,1.672668266,0.000533966
CALU,-0.080022445,0.276800984
CCDC136,-0.283444548,0.040517807
SMO,1.014437786,8.37E-13
LRRC17,2.409604134,9.93E-15
KLHDC10,0.059870266,0.579849843
NDUFA5,-0.158752551,0.131761461
OPN1SW,-0.425963317,0.050600278
MRPS12,-0.260919729,0.086218882
MYO1B,0.348796033,0.015413208
MTX2,0.014141265,0.907015234
PDE11A,-2.380529229,0.157040078
CHN1,0.562709162,5.09E-05
GAD1,0.529736465,0.707102811
OSGEPL1,0.497422092,0.016138384
ORMDL1,-0.998466732,6.40E-22
HAT1,0.146048891,0.178796028
HERC2,-0.143496817,0.112253715
SNRPN,0.768790126,0.084086884
PSMG2,-0.230332124,0.030674985
TWSG1,-0.057539501,0.572758199
ARHGAP22,0.756799781,3.08E-07
WDFY4,-1.112790392,0.007134034
EIF2AK4,0.083588804,0.334971432
MYO5C,0.843237223,0.620502067
CGNL1,-0.168197673,0.58425956
TMOD2,-0.123277157,0.256581914
TTBK2,0.176863449,0.152554158
ELL3,0.605654424,0.617908456
CCDC32,0.018512204,0.918911499
INO80,-0.369046542,0.000425029
ICE2,-0.040247322,0.699511242
DLL4,-2.861859893,0.0030495
ALDH1A2,0.143070736,0.871951181
MINDY2,-1.038264717,1.42E-33
IVD,-0.307633758,0.002599703
KNSTRN,-0.58039074,0.002831223
DUT,-0.299273258,0.012836946
CHAC1,0.763618577,0.063387854
CLN6,-0.063528486,0.706299384
ARPP19,-0.33809811,2.96E-05
VPS13C,0.054375286,0.589237298
CALML4,-0.321795217,0.073171595
ISLR,0.215727611,0.005306069
THAP10,0.29898774,0.205994797
LOXL1,0.523353202,1.24E-06
ACKR4,1.453553079,2.50E-06
ANAPC13,0.186151782,0.060905216
MBD4,0.001048351,0.99216576
COPB1,-0.21560565,0.0082593
PSMA1,-0.288386376,0.060924809
SUMF2,-0.104622578,0.171556204
PALLD,-0.848767313,4.83E-21
SPCS3,-0.747374878,1.72E-12
BBOX1,0.341950426,0.747648015
SERGEF,-0.042570718,0.8216155
TPH1,0.498400929,0.634310164
E2F8,0.863589009,0.534071278
DCTD,-0.014450392,0.856694488
SOX15,0.092181814,0.828114924
PIMREG,-0.142896845,0.804359785
RPAIN,0.056743707,0.679378499
USP6,-0.299155804,0.202420397
SHBG,0.014840078,0.971506241
PLD2,0.025214909,0.811341314
TXNDC17,-0.298806971,0.02040242
ATP1B2,-0.054653156,0.959536607
FXR2,-0.267349252,0.007264202
KIF1C,-0.510310656,4.22E-10
MPDU1,0.122287327,0.298912478
PHF20L1,-0.036462905,0.73397121
LRRC6,0.155360729,0.600051309
CCNT1,-0.218684158,0.029847476
PUS7L,0.210726101,0.18271241
KRI1,-0.069031914,0.549800273
ILF3,0.040101516,0.640104647
SLC44A2,-0.557303316,1.64E-07
CDKN2D,-0.546928619,0.041225428
MTUS1,-0.14448374,0.295147845
KLK14,0.315328962,0.824687162
NGDN,-0.032023447,0.82263162
RIPK3,-0.275471454,0.546554115
ADCY4,1.666409745,3.18E-11
RAB2B,-0.172878542,0.209677387
BCL2L2,-0.347691037,0.000269919
AJUBA,0.319763276,0.015309673
DTD2,-0.164640883,0.307303332
PARP2,0.768130266,5.62E-07
HEATR5A,-0.173483001,0.112867145
FOXA1,0.990491431,0.172202091
SNX6,-0.058421961,0.504787935
EAPP,-0.011247095,0.920684515
EGLN3,0.992367895,0.017304719
MIS18BP1,-0.255178823,0.028772537
NRL,-0.192624046,0.747050008
NEDD8,-0.261835823,0.025504501
DAD1,-0.155770764,0.0836927
TEP1,-0.403370343,0.000269365
EPB41L4A,-0.257711498,0.807456681
CDO1,-0.893731443,0.007597355
REEP5,-0.143470674,0.136828898
ITFG1,-0.181251366,0.051869129
QRICH2,0.319130709,0.226035218
SEC14L1,-0.091303468,0.381516662
RHBDF2,0.398293215,0.200287047
ARHGEF6,0.000843865,0.99325218
MAP7D3,-0.315558418,0.004864838
FGF13,1.553809994,1.15E-15
ASH2L,0.083837381,0.393498715
TTI2,0.060737979,0.757386531
CHRNA10,-0.378190292,0.559545449
CDKN1C,-0.283748921,0.106043291
SGO1,0.846809596,0.382682295
RPS4Y1,0.083766524,0.563162624
CDH15,-1.087175817,0.222889053
KLF16,0.081099189,0.687275799
TMEM8A,-0.249261514,0.0024766
DOHH,-0.295110188,0.076510183
MAU2,-0.108329458,0.269023082
SHC2,0.224594665,0.099315555
PLPPR3,-0.218072609,0.599034044
ABHD17A,-0.14190166,0.214008365
LBP,-0.921112475,0.117238585
SYT5,0.3371927,0.668937628
CBFA2T3,2.542840207,0.104767269
GAMT,0.370431754,0.002744365
PUDP,-0.169081246,0.230319397
ERMARD,0.021589368,0.851272916
PHF10,-0.181324621,0.062656497
PRRG3,2.099238111,7.85E-06
KCNA6,-0.486496681,0.767121435
GALNT8,-0.486496681,0.767121435
KCNA5,0.595948083,0.252209732
CRACR2A,0.067504021,0.801332768
NXNL2,0.090221042,0.853621447
STARD8,0.334642223,0.175703136
GDPD2,0.137087141,0.893373896
SAT1,-1.317510544,1.27E-16
GNL3L,-0.087772882,0.589147924
SH3BP4,0.056821009,0.678468777
MOSPD2,-0.6820916,1.85E-06
DOCK6,0.116399781,0.356061957
ECSIT,0.197741585,0.143127589
LDLR,-0.602573017,0.00076602
ELOF1,-0.005577997,0.965584974
ANGPTL8,0.178182057,0.907024348
PRKCSH,-0.06172818,0.444627287
CNN1,-0.763884537,0.014835374
CDC16,-0.075529262,0.366161093
THEM6,0.392821284,0.098826517
NECTIN2,-0.335655111,0.001742963
APOE,0.245124165,0.032726348
TOMM40,-0.150589949,0.313468292
APOC1,0.807707563,0.016486514
GADD45G,1.875867234,0.003672095
LRCH2,-0.770067559,6.01E-08
XPO7,0.423691395,3.40E-07
FAM98C,0.314137879,0.056203922
SAFB2,-0.203168853,0.082848718
RPL36,0.000362287,0.99752641
ATP8B3,0.028650675,0.90704756
GTPBP3,-0.021319593,0.910102611
BST2,0.085626366,0.728649096
SLC27A1,0.106791598,0.347622874
NSUN5,0.009368819,0.944239957
USHBP1,0.04573785,0.964659568
COLGALT1,-0.261486185,0.001955514
DDA1,-0.518857286,7.14E-07
MRPL34,-0.248344224,0.030681036
PGLS,0.167430432,0.13818515
LSM7,0.185780099,0.151721773
TULP4,0.432485132,0.000120678
SNX9,0.465906256,1.55E-05
RTN4IP1,0.458398758,0.059451853
QRSL1,0.174021668,0.194789191
C6orf203,0.036400236,0.810604034
RSPH3,0.027679352,0.842817537
ACSBG2,2.626223044,0.011982852
MLLT1,-0.28522669,0.027324201
AFDN,-0.131937516,0.203752681
ACTN4,-0.780978431,6.16E-09
STK33,-0.122411191,0.739726676
NDUFA10,0.003332232,0.971130046
ARPC1B,-0.088764366,0.483893988
CACNG6,-0.518217727,0.742731015
ZSWIM6,0.101203206,0.368163751
FCHO1,0.062216858,0.902757229
UNC13A,-0.72802346,0.635007479
MAP1S,-0.500193671,2.81E-05
KLHDC7B,2.672189387,0.00846497
SCO2,-0.258404649,0.331586962
PXDN,-0.274226945,0.006972174
SSBP4,0.366106355,0.001041493
GDF15,1.8684861,1.52E-41
PGPEP1,0.557310661,8.84E-06
IQCN,0.763157724,0.000442769
LSM4,-0.079972741,0.461398691
JUND,0.223805484,0.009193055
HRC,-1.240990839,0.508513064
TRPM4,-0.713888143,2.03E-10
SULT4A1,-0.14528764,0.702870446
ZNF557,0.017530519,0.927276381
CRB3,0.305584623,0.863111649
OLFM1,-0.26214117,0.079249189
CAMSAP1,0.101911942,0.439229964
UBAC1,0.019017696,0.865743724
ZBTB46,0.76604916,1.05E-06
HELZ2,0.026853397,0.845761759
SAMD10,0.292807179,0.28727754
LSP1,1.838776493,0.000545322
H19,1.320075825,2.59E-07
CYP2G1P,1.020969076,0.526757496
COL5A1,0.56589584,3.33E-08
ATXN10,-0.092916355,0.31646064
TUBGCP2,0.005909186,0.946965187
CALY,1.171118124,0.383074094
CYP2E1,0.568521179,0.227693714
PNPLA7,-0.347865022,0.056517077
PAK4,0.140503602,0.321629701
ZNF337,0.169620639,0.481663107
CEP85,0.349505561,0.152932018
TAF4,-0.10511621,0.511830959
LAMA5,0.115028893,0.332917883
OSBPL2,0.083137849,0.431216067
ADRM1,-0.157040509,0.140414492
ASS1,0.408576714,0.00103621
EXOSC2,0.236980295,0.165572722
POMT1,-0.11390976,0.271235236
UCK1,-0.061242399,0.587652201
FIBCD1,0.392840132,0.039026604
PRRC2B,-0.096889324,0.320237224
CHMP2A,-0.022675344,0.802487916
UBE2M,-0.090560533,0.381730886
TRIM28,0.018394722,0.814984448
METTL26,0.000309525,0.998325029
YIPF2,0.292572184,0.009004812
ATG4D,-0.302536424,0.154804816
EIF2S3,0.200637953,0.016652175
TMEM160,-0.344574591,0.28150765
ZC3H4,0.021427979,0.845659794
NPAS1,0.31127028,0.615420322
GMFG,1.043911434,0.400701156
MAP3K10,-0.205064029,0.19634227
LRRC47,-0.038882377,0.699660216
SESN2,0.943837829,3.51E-14
ATP5IF1,0.149809771,0.188256173
MED18,-0.205055214,0.140602352
THEMIS2,0.370905493,0.076756677
CLIP1,-0.244817182,0.008549504
CCDC62,-0.368821622,0.586114762
HIP1R,0.334188665,0.027556472
ZNF317,0.003283166,0.976430135
PPAN,-0.700280082,0.085429814
EIF3G,-0.213020424,0.022669692
ANGPTL6,0.140799349,0.867043157
SHFL,0.004830415,0.968080553
DNMT1,0.058810758,0.495835453
ZNF426,0.260027688,0.065333913
SLC6A8,-0.144273866,0.155539904
PNCK,0.468758432,0.447173802
DKC1,-0.060898132,0.617420591
PLXNA3,0.138419679,0.226382715
MPP1,0.021553491,0.893494845
ZNF331,-0.037268932,0.776107666
ZNF236,0.234116147,0.074042399
SLC7A10,-0.495324814,0.405727199
LRP3,0.344190643,0.007161735
C12orf65,0.412230258,0.001103157
NOL11,0.001267207,0.991334358
UBE4B,0.004191298,0.972020341
CASZ1,-0.020312493,0.981981913
PKDREJ,0.454901161,0.221460801
HSD17B3,-1.521295766,0.170694139
NUTM2F,0.087091093,0.91230252
HABP4,-0.570225774,8.85E-09
SLC35D2,-0.350365504,0.003592157
PRRG1,-0.348391694,0.003523321
UBA1,-0.036330522,0.626562118
RGN,0.198094697,0.30382805
POLN,0.457350624,0.149977923
TXLNGY,0.089513452,0.514965111
PPIL4,0.057923068,0.560168224
ULBP2,0.334777776,0.465721315
AKAP12,0.91519013,9.44E-16
SYNE1,-0.036793314,0.723050737
ULBP3,0.662015177,0.054940531
LATS1,-0.027720537,0.794156294
EPS8L1,-1.44642088,0.015516023
AAR2,-0.238295806,0.018081394
TTLL9,0.313205901,0.765291668
RBM39,0.038681362,0.664720716
ZNF341,-0.078268785,0.732437584
GGT7,-0.030395393,0.778878305
ACSS2,-0.268850754,0.018774206
EDA2R,0.947935414,6.75E-19
ARHGEF9,0.336074645,0.00241975
C1QL1,0.365717734,0.301216426
PYY,0.523144523,0.618381215
ATP6V1E1,-0.32011311,0.000195181
ZNF227,0.217780397,0.154679536
ZNF428,0.070438069,0.63400429
ZNF141,0.28866603,0.126990249
COX4I1,0.028101554,0.764422843
EMC8,-0.386753124,0.001381779
GSE1,0.326591248,0.020811156
GINS2,0.490131095,0.238481192
CHMP1A,-0.201295349,0.017571433
SH3BGRL,0.003248446,0.972036319
COX7B,0.210670273,0.050498
F12,-0.003045811,0.996893341
PRR7,0.253599503,0.51808328
NFATC1,-0.063099411,0.732307945
CAP1,-0.520544893,1.73E-09
PPT1,-0.073889205,0.458639328
RAB11FIP4,2.189634668,6.34E-09
RLIM,-0.168167232,0.05493164
ABCB7,0.231377163,0.072801741
TRAF3,0.425673764,7.71E-05
HAUS8,-0.194937607,0.528319319
MRPS25,-0.005935843,0.960392233
SH3BP5,0.993155989,9.83E-10
HACL1,-0.100287143,0.532740163
TBC1D5,0.214497433,0.020428858
CAPN7,0.036859836,0.718301955
RFTN1,-0.188423408,0.189626505
C3orf20,1.233425901,0.193658682
RBSN,0.144196496,0.19265472
GALNT15,-1.61544233,1.57E-26
SLC6A6,2.124894851,1.95E-48
KCNC3,-1.484767927,0.308003239
NAPSA,0.045894924,0.940061204
NR1H2,-0.356357929,0.000200789
LRRC4B,0.448791436,0.356051186
PDLIM4,0.394047657,0.010442935
KIF3A,0.608353821,7.93E-07
MGAT1,-0.865562692,4.92E-25
GFPT2,-1.228409979,3.56E-11
TUBG1,0.284439868,0.047444992
PSME3,-0.313776272,0.000214218
RPL27,0.038204267,0.66970122
PSMC3IP,-0.367367187,0.210820698
AOC3,-0.359019714,0.0414608
ACLY,-0.155422849,0.06771402
VPS25,-0.108691108,0.306544802
RAMP2,-0.718849041,0.322151485
AOC2,-0.577806507,0.169897543
NDUFA2,-0.140956722,0.350896183
ANKHD1,0.135144136,0.731551692
DIAPH1,-0.293404095,0.003823135
NDFIP1,-0.392207956,1.93E-05
UBE2D2,-0.293165034,0.012719137
EXOC4,0.069666482,0.401285879
ACAP3,0.460889416,8.65E-05
C1orf159,0.000227251,0.999039875
ANO1,0.053001678,0.934679894
PPFIA1,-0.145259275,0.137558692
TMEM204,-0.755730576,7.76E-09
KREMEN2,1.704040377,0.360177366
THOC6,0.119903946,0.436116955
TRAF7,-0.105345225,0.218427258
NINJ1,0.618233206,2.29E-07
NPHP4,0.087982796,0.593769118
MAP1B,0.460173981,1.74E-07
IL13RA1,0.018734446,0.83477482
WDR44,-0.234197796,0.029808883
CKMT2,1.226168922,0.004386877
ZCCHC9,0.405700513,0.000166612
TNS4,0.422506247,0.751827605
TOP2A,0.300388188,0.06029566
STARD3,0.007646269,0.940190775
RARA,0.282796725,0.021029855
PPP1R1B,2.998649368,4.07E-21
KHDRBS3,-0.316179884,0.071361811
CHD1L,0.278965987,0.021942389
PEX11B,-0.195039117,0.079440894
FMO5,-0.318194755,0.135083851
PIAS3,0.069761415,0.507398587
PRKAB2,-0.025183786,0.792901957
CLUHP3,0.55701395,0.032202668
PDHA1,-0.074425133,0.474762163
RAI2,-1.428453636,2.75E-39
MCCC2,-0.455381222,0.000155587
ZNF304,0.14553553,0.266241765
ZSCAN5A,0.025154942,0.932831028
ZNF132,0.137139788,0.430464164
SELENOS,-0.687177461,4.11E-13
CHSY1,0.07669176,0.555020623
SNRPA1,0.049762504,0.722874578
LLGL1,0.447245338,1.24E-05
THAP1,-0.086621964,0.582633029
RHPN2,-0.379590846,0.051916736
C19orf12,-0.316497592,0.010584264
FAAP24,0.026407824,0.902769734
ACTR10,-0.086470586,0.381454889
ABHD12B,0.263663512,0.717231476
GCH1,-1.599160465,1.41E-11
LGALS3,0.3299858,0.000141146
PODNL1,-0.10240133,0.571069025
DNAJB1,0.309326688,0.001245194
ZSWIM4,-0.572786988,0.003089878
FBXW9,0.186410847,0.451254149
RFX1,0.066997489,0.69675742
ZNF20,0.466608894,0.659506528
C19orf57,0.502264227,0.355770944
DCAF15,0.17753944,0.268404708
CC2D1A,0.07652776,0.485052445
MATN3,-0.639501761,0.013967252
TRIM21,0.219709488,0.073868357
SPATA6,-0.234345701,0.112620906
LRRC41,0.021461192,0.795994219
CCT6B,-0.543717943,0.113111519
DHX30,-0.130714347,0.160087857
RAF1,-0.787828912,2.21E-18
