category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0045859	regulation of protein kinase activity	38	PDCD4	0.573612847	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	CD24A	0.840220153	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	SPRY4	-1.340290385	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	MAP3K5	-2.582338303	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	CERKL	0.862400057	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	DGKD	-1.184887067	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	MDFIC	-1.121736197	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	HEXIM1	0.433091644	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	GAB1	0.879589395	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	SPRED1	-1.04019387	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	FGF2	-0.585969297	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	CEACAM2	2.203835035	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	MAP2K1	-0.462879817	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	PKIG	0.59475899	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	NF1	-0.701186185	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	TGFBR2	0.998477288	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	DGKH	-0.931246117	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	THY1	-0.553856214	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	SH3BP5	-0.799624761	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	PLCE1	-0.583871842	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	HIPK3	0.420905124	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	CD81	-0.52313523	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	TSC2	0.484905079	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	ERN1	0.733184663	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	FABP4	-6.006374633	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	NRK	-0.636474618	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	LRP8	3.356398728	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	GADD45A	1.207454523	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	F2R	-2.126826937	0.002993049	-0.648885685
BP	GO:0045859	regulation of protein kinase activity	38	HTR2A	0.822310451	0.002993049	-0.648885685
BP	GO:0007155	cell adhesion	86	NRP2	-1.515317303	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	DLC1	-0.970787511	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PPARD	0.685895438	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	AEBP1	-0.544457436	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	TLN1	-0.33685271	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	NRP1	-1.141231543	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CADM1	1.82159554	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ATP1B2	-1.15948805	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CLDN6	0.586878968	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CLSTN1	0.410412133	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CLDN5	1.52910963	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LMO7	-0.743616143	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	POSTN	-1.980098257	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD2AP	0.835516295	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	TGFB2	2.303174833	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CERKL	0.862400057	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD44	-1.039695579	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ROBO2	-1.668692134	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ZYX	-1.05827333	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	RAPGEF1	-0.869591863	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CDH23	-1.180580167	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	RET	1.195297373	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	MPDZ	-1.271882373	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	FLOT2	-0.522611779	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	F8	-0.577575523	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LEF1	4.23127624	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	MFGE8	-1.456285783	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD164	0.482068703	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	THY1	-0.553856214	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	JUP	-1.051639559	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	IGSF5	1.372578317	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD36	-7.1283219	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PGM5	1.923125093	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	F5	1.03429269	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ATP2C1	0.567286807	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	NPTN	-0.46681627	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LAMC1	-0.913195924	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	DST	-0.99191953	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	JAM3	-1.350891607	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PARVB	1.10236738	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PARVA	-0.75435956	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PARD3	1.703520435	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	TNC	-0.430675823	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGB5	-2.066462034	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	NEDD9	-0.66322645	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CTNND1	-0.434554102	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CDH2	1.283265268	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	SOX9	0.436015926	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD24A	0.840220153	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGB1	-0.320847591	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CDH5	-0.51477973	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	DCHS1	-0.952972577	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CLDN15	-0.673879943	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGBL1	-0.452187223	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CD9	-0.765346517	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	KLRA9	-3.571493922	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PCDHB16	-0.563045248	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	BCL2	-0.819237793	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	AATF	-0.571416541	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	SSX2IP	1.868460963	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	COL8A1	-1.216431767	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	FN1	1.844936333	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	DPT	-3.204061533	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ADAM23	-1.084403685	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LGALS1	-2.24746241	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PCDH10	0.244743827	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	COL15A1	-0.878542587	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	HSPG2	-1.853688857	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PCDH12	-1.49477816	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	NID1	-1.373472843	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGA3	0.659065567	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	PCDH17	-2.0914267	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	MCAM	-2.217916153	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	EMILIN1	-0.407663185	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LAMA2	-0.423097134	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	VWF	1.762070325	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGA9	-1.79339171	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CDH13	-2.270387951	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	LAMA4	-1.284668	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	STAB1	-0.456243678	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ITGA5	-0.821946307	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	FREM2	0.85107851	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	CDON	0.52434445	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	FBLN5	-1.80873553	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	TCAM1	0.292937437	0.003576524	-3.01931765
BP	GO:0007155	cell adhesion	86	ABL2	0.532475325	0.003576524	-3.01931765
BP	GO:0009165	nucleotide biosynthetic process	36	ATP5E	0.312533377	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	NAMPT	1.782472597	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	HPRT	0.62759242	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP1B2	-1.15948805	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	G6PDX	0.753131549	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP10A	4.198804217	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ADCY6	-0.755749068	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	PTH2	-0.231550693	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	CTPS2	0.561099047	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP10D	0.706659643	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP5G3	0.334951082	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP2B4	-1.866284233	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	GUCY1A2	-0.557933797	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP8B1	-2.107400573	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	PAPSS1	0.603072316	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	IMPDH1	0.705089581	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP5H	0.454014144	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP11B	0.807687133	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	NPR1	-0.893131727	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP11A	0.501536367	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	NPR2	-2.076959626	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP1A1	0.617869067	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	AMPD3	-1.14006264	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP13A5	0.37577669	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	NME5	0.719274353	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP6V1A	0.65044849	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	NME3	0.564906918	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP6V0E2	0.47838481	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP2C1	0.567286807	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP9A	-1.401088247	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ADK	1.724155737	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP6V0A1	0.984753306	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	GUCY1B3	-0.730732138	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	FLAD1	-0.237846853	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	PRPS2	-1.591083526	0.003579722	1.666666667
BP	GO:0009165	nucleotide biosynthetic process	36	ATP8A1	1.35273615	0.003579722	1.666666667
BP	GO:0022610	biological adhesion	86	NRP2	-1.515317303	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	DLC1	-0.970787511	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PPARD	0.685895438	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	AEBP1	-0.544457436	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	TLN1	-0.33685271	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	NRP1	-1.141231543	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CADM1	1.82159554	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ATP1B2	-1.15948805	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CLDN6	0.586878968	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CLSTN1	0.410412133	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CLDN5	1.52910963	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LMO7	-0.743616143	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	POSTN	-1.980098257	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD2AP	0.835516295	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	TGFB2	2.303174833	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CERKL	0.862400057	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD44	-1.039695579	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ROBO2	-1.668692134	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ZYX	-1.05827333	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	RAPGEF1	-0.869591863	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CDH23	-1.180580167	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	RET	1.195297373	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	MPDZ	-1.271882373	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	FLOT2	-0.522611779	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	F8	-0.577575523	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LEF1	4.23127624	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	MFGE8	-1.456285783	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD164	0.482068703	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	THY1	-0.553856214	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	JUP	-1.051639559	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	IGSF5	1.372578317	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD36	-7.1283219	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PGM5	1.923125093	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	F5	1.03429269	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ATP2C1	0.567286807	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	NPTN	-0.46681627	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LAMC1	-0.913195924	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	DST	-0.99191953	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	JAM3	-1.350891607	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PARVB	1.10236738	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PARVA	-0.75435956	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PARD3	1.703520435	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	TNC	-0.430675823	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGB5	-2.066462034	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	NEDD9	-0.66322645	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CTNND1	-0.434554102	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CDH2	1.283265268	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	SOX9	0.436015926	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD24A	0.840220153	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGB1	-0.320847591	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CDH5	-0.51477973	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	DCHS1	-0.952972577	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CLDN15	-0.673879943	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGBL1	-0.452187223	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CD9	-0.765346517	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	KLRA9	-3.571493922	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PCDHB16	-0.563045248	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	BCL2	-0.819237793	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	AATF	-0.571416541	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	SSX2IP	1.868460963	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	COL8A1	-1.216431767	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	FN1	1.844936333	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	DPT	-3.204061533	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ADAM23	-1.084403685	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LGALS1	-2.24746241	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PCDH10	0.244743827	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	COL15A1	-0.878542587	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	HSPG2	-1.853688857	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PCDH12	-1.49477816	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	NID1	-1.373472843	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGA3	0.659065567	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	PCDH17	-2.0914267	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	MCAM	-2.217916153	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	EMILIN1	-0.407663185	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LAMA2	-0.423097134	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	VWF	1.762070325	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGA9	-1.79339171	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CDH13	-2.270387951	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	LAMA4	-1.284668	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	STAB1	-0.456243678	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ITGA5	-0.821946307	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	FREM2	0.85107851	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	CDON	0.52434445	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	FBLN5	-1.80873553	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	TCAM1	0.292937437	0.003570881	-3.01931765
BP	GO:0022610	biological adhesion	86	ABL2	0.532475325	0.003570881	-3.01931765
BP	GO:0014706	striated muscle tissue development	29	CAV1	-0.956726373	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MYL2	-4.45152649	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	TNC	-0.430675823	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	UTRN	0.651558243	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	PDLIM3	-0.887693887	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	EGLN1	-0.512868557	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	TTN	-0.663359973	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	ITGB1	-0.320847591	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	TGFB2	2.303174833	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	GATA6	-0.868098097	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	AGRN	0.992407163	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MKL2	1.187109212	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	PAK1	1.396210657	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	ACTC1	-3.407986328	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	RXRA	-0.370907151	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	NF1	-0.701186185	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	HSPG2	-1.853688857	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MYLPF	1.061684609	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MYH6	-1.608701091	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	CSRP3	-0.913555936	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	FOXP1	0.904013	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	TNNT2	-4.296939333	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MURC	1.60125077	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	MEOX2	-4.544633582	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	PLN	-2.073402748	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	FOXC2	-0.84021201	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	TGFBR3	1.21053663	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	FOXC1	2.02292565	0.003738387	-1.671258044
BP	GO:0014706	striated muscle tissue development	29	F2R	-2.126826937	0.003738387	-1.671258044
BP	GO:0060429	epithelium development	49	DLC1	-0.970787511	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	ENAH	-0.831753073	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	NRP1	-1.141231543	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PTGS2	3.074301357	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PGF	-0.297338013	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PPARG	-3.6760365	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PTGS1	-1.016760793	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	GJA1	-0.81794802	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	ZIC2	1.590361615	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	CD44	-1.039695579	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	GATA6	-0.868098097	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	ILK	-0.647659317	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	SEMA3C	5.515629833	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	FGF2	-0.585969297	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	RET	1.195297373	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	AR	-1.153760443	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	STX2	-1.46728578	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	RXRA	-0.370907151	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	VANGL2	0.522056899	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	HHEX	0.827735579	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	MIB1	-0.289969767	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	NCOA3	-0.573910083	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	TGFB1I1	-0.98297974	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	WNT5A	1.267849923	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	COBL	-0.45287561	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	BBS4	0.79173311	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	FGFR3	-0.441929813	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	TNC	-0.430675823	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	CTNND1	-0.434554102	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	NR3C1	0.377380693	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	SOX9	0.436015926	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	WT1	-2.457895104	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	IGF1R	2.452772717	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	HOXA5	-0.839731048	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	BCL2	-0.819237793	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PLXND1	-1.48317114	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	CAR2	1.609980617	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	MAP2K1	-0.462879817	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	PPHLN1	0.578821817	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	TBX4	1.323461845	0.004086705	-1.285714286
BP	GO:0060429	epithelium development	49	SMAD3	0.888539627	0.004086705	-1.285714286
