title	year	length	budget	rating	votes	mpaa	genre
All the Queen's Men	2001	105	25	5	353	PG-13	Action Comedy
Charlie's Angels: Full Throttle	2003	107	120	5	13990	PG-13	Action Comedy
Chill Factor	1999	101	34	5	2542	R	Action Comedy
Exorcist: The Beginning	2004	114	30	5	4130	R	Action
Haunted Mansion, The	2003	87	90	5	3341	PG	Comedy
Joe's Apartment	1996	80	13	5	2169	PG-13	Comedy
Last Resort, The	1997	86	5	5	62	PG-13	Action
Lizzie McGuire Movie, The	2003	94	17	5	2541	PG	Comedy
Lucky Numbers	2000	105	65	5	2396	R	Comedy
Mortal Kombat	1995	101	20	5	8779	PG-13	Action
Out-of-Towners, The	1999	90	40	5	2919	PG-13	Comedy
Phantom, The	1996	100	45	5	3329	PG	Action
See Spot Run	2001	94	16	5	1193	PG	Comedy
Simple Wish, A	1997	89	28	5	423	PG	Comedy
Teaching Mrs. Tingle	1999	96	13	5	5244	PG-13	Comedy
What's the Worst That Could Happen?	2001	97	45	5	2531	PG-13	Comedy
Ace Ventura: When Nature Calls	1995	90	30	4.9	15161	PG-13	Comedy
Cherry Falls	2000	92	14	4.9	2165	R	Comedy
Crow: Salvation, The	2000	102	25	4.9	1383	R	Action Drama
Eddie	1996	100	30	4.9	1348	PG-13	Comedy
Elektra	2005	96	43	4.9	5120	PG-13	Action
Friday After Next	2002	85	20	4.9	1659	R	Comedy
How High	2001	95	12	4.9	2916	R	Comedy
Like Mike	2002	99	30	4.9	1484	PG	Comedy
Malibu's Most Wanted	2003	86	16	4.9	2099	PG-13	Comedy
Pacifier, The	2005	95	56	4.9	2179	PG	Action Comedy
Red Baron, The	1971	97	0.9	4.9	120	PG-13	Action Drama
Under Siege 2: Dark Territory	1995	99	60	4.9	5551	R	Action Drama
Animal, The	2001	84	22	4.8	5605	R	Comedy
Company Man	2000	86	16	4.8	492	PG-13	Comedy
Double Take	2001	91	24	4.8	1503	PG-13	Action Comedy
Escape from L.A.	1996	101	50	4.8	7955	R	Action
Facade	2000	93	6	4.8	93	R	Action
Going Greek	2001	90	0.198	4.8	261	R	Comedy
Jade	1995	107	50	4.8	2380	R	Action Drama
Scooby-Doo	2002	86	84	4.8	9618	PG	Comedy
Screwed	2000	78	10	4.8	1592	PG-13	Comedy
Unstoppable	2004	96	15	4.8	579	R	Action Comedy
Whole Ten Yards, The	2004	98	40	4.8	4133	PG-13	Comedy
Big Bounce, The	2004	88	50	4.7	2505	PG-13	Comedy
Big Momma's House	2000	98	30	4.7	7509	PG-13	Comedy
Breed, The	2001	91	4	4.7	582	R	Action
Fathers' Day	1997	98	85	4.7	2714	PG-13	Comedy
Free Money	1998	91	30	4.7	619	R	Comedy
Get Carter	2000	104	40	4.7	4927	R	Action Drama
Greenskeeper, The	2002	90	0.08	4.7	38	R	Comedy
Jingle All the Way	1996	88	60	4.7	6246	PG	Action Comedy
Lost in Space	1998	130	80	4.7	15209	PG-13	Action
P.S. Your Cat Is Dead	2002	88	2	4.7	185	R	Comedy
Silent Trigger	1996	90	15	4.7	432	R	Action Drama
Slackers	2002	86	11	4.7	2755	R	Comedy
Slap Her... She's French	2002	92	10	4.7	811	PG-13	Comedy
Spy Kids 3-D: Game Over	2003	84	39	4.7	2597	PG	Action Comedy
Tomcats	2001	95	11	4.7	3717	R	Comedy
Wild Angels, The	1966	93	0.36	4.7	212	R	Action Drama
Corky Romano	2001	86	11	4.6	2463	PG-13	Comedy
Dude, Where's My Car?	2000	83	13	4.6	13330	PG-13	Comedy
Eighteenth Angel, The	1998	95	25	4.6	557	R	Action
Frankenfish	2004	84	3	4.6	309	R	Action Comedy
Ghosts of Mars	2001	98	28	4.6	6368	R	Action
Held Up	1999	89	8	4.6	555	PG-13	Comedy
Judge Dredd	1995	96	90	4.6	9979	R	Action
Men of War	1994	99	12	4.6	397	R	Action Drama
Mercy Streets	2000	106	0.6	4.6	149	PG-13	Action Drama
Peacekeeper, The	1997	98	10	4.6	505	R	Action
Point Men, The	2001	88	6.1	4.6	266	R	Action
Spawn	1997	98	40	4.6	7523	PG-13	Action
Steal Big Steal Little	1995	135	35	4.6	263	PG-13	Comedy
Tank Girl	1995	104	25	4.6	4400	R	Action Comedy
Blues Brothers 2000	1998	123	28	4.5	5267	PG-13	Comedy
Boat Trip	2002	97	20	4.5	2991	R	Comedy
Carpool	1996	89	17	4.5	829	PG	Comedy
Catch That Kid	2004	91	18	4.5	598	PG	Action Comedy
Christmas with the Kranks	2004	98	60	4.5	1520	PG	Comedy
Coronado	2003	88	4.7	4.5	411	PG-13	Action Comedy
Fire Over Afghanistan	2003	92	0.155	4.5	67	R	Action Drama
Legionnaire	1998	98	35	4.5	1773	R	Action
Medallion, The	2003	88	41	4.5	2765	PG-13	Action Comedy
My Favorite Martian	1999	93	60	4.5	1942	PG	Comedy
Nutty Professor II: The Klumps	2000	109	84	4.5	5825	PG-13	Comedy
Revelation	1999	98	5	4.5	203	PG-13	Action Drama
Shadow Conspiracy	1997	103	45	4.5	1078	R	Action
Space Truckers	1996	95	25	4.5	1460	PG-13	Comedy
Spy Hard	1996	81	18	4.5	4686	PG-13	Action Comedy
Superstar	1999	81	14	4.5	2880	PG-13	Comedy
Touch, The	2002	103	20	4.5	417	PG-13	Action
Town & Country	2001	104	90	4.5	1434	R	Comedy
Bad Moon	1996	80	7	4.4	519	R	Action
Confessions of a Teenage Drama Queen	2004	89	15	4.4	2205	PG	Comedy
Congo	1995	109	50	4.4	8058	PG-13	Action
Driven	2001	116	72	4.4	7129	PG-13	Action Drama
Firestorm	1998	89	19	4.4	987	R	Action
Hidden Assassin	1995	89	11	4.4	245	R	Action Drama
Highlander: Endgame	2000	101	15	4.4	3773	R	Action
Legally Blonde 2: Red, White & Blonde	2003	95	45	4.4	6293	PG-13	Comedy
Musketeer, The	2001	104	40	4.4	3966	PG-13	Action Drama
No Code of Conduct	1998	95	12	4.4	314	R	Action Drama
Pep Squad	1998	94	0.5	4.4	120	R	Comedy
Thunderbirds	2004	95	57	4.4	1419	PG	Action Comedy
Dead Babies	2000	100	1	4.3	172	R	Comedy
Dead Hate the Living!, The	2000	90	0.15	4.3	496	R	Comedy
Envy	2004	99	40	4.3	3417	PG-13	Comedy
Freddy's Dead: The Final Nightmare	1991	93	5	4.3	3618	R	Comedy
Rock 'n' Roll Frankenstein	1999	88	0.25	4.3	66	R	Comedy
Sons of Provo	2004	93	0.2	4.3	35	PG	Comedy
Belly of the Beast	2003	91	18	4.2	638	R	Action
Breakfast of Champions	1999	110	12	4.2	2250	R	Comedy
Claustrophobia	2003	79	0.114	4.2	90	R	Comedy
Decoys	2004	95	5	4.2	580	R	Comedy
Dr. Jekyll and Ms. Hyde	1995	90	8	4.2	573	PG-13	Comedy
Era of Vampire, The	2002	90	1	4.2	329	R	Action
Fortress 2	1999	92	11	4.2	1027	R	Action
Granny, The	1995	85	1	4.2	142	R	Comedy
Hidden Agenda	2001	98	5	4.2	266	R	Action
Ice Cream Man	1995	84	2	4.2	349	R	Comedy
Perfect Target	1997	89	3.5	4.2	55	R	Action
Scary Movie 2	2001	83	45	4.2	12035	R	Comedy
Absolon	2003	96	8	4.1	548	R	Action
Black Knight	2001	95	50	4.1	3822	PG-13	Comedy
Demolitionist, The	1995	100	1	4.1	238	R	Action
Detention	2003	98	10	4.1	223	R	Action Drama
Full Clip	2004	95	0.5	4.1	72	R	Action
Pootie Tang	2001	70	3	4.1	1921	PG-13	Action Comedy
Savage	1995	99	5	4.1	93	R	Action
Sleepover	2004	89	10	4.1	733	PG	Comedy
Dungeons & Dragons	2000	107	35	4	7435	PG-13	Action
Extreme Ops	2002	94	40	4	1337	PG-13	Action
Good Burger	1997	103	9	4	1714	PG	Comedy
Inspector Gadget	1999	78	75	4	5288	PG	Action Comedy
Into the Sun	2005	97	16	4	481	R	Action
Lengua asesina, La	1996	98	4	4	244	R	Comedy
Route 666	2001	86	2.3	4	487	R	Action
Soul Assassin	2001	96	7	4	376	R	Action
Wild Wild West	1999	107	170	4	19078	PG-13	Action Comedy
Adventures of Pluto Nash, The	2002	95	100	3.9	2543	PG-13	Action Comedy
Fair Game	1995	91	50	3.9	2579	R	Action Comedy
Half Past Dead	2002	98	30	3.9	2099	PG-13	Action
Juwanna Mann	2002	91	15.6	3.9	885	PG-13	Comedy
Kangaroo Jack	2003	89	60	3.9	3661	PG	Comedy
My Life's in Turnaround	1993	84	0.022	3.9	196	R	Comedy
Sweepers	1999	93	12.5	3.9	276	R	Action
xXx: State of the Union	2005	101	87	3.9	1584	PG-13	Action
Agent Cody Banks 2: Destination London	2004	100	26	3.8	919	PG	Action Comedy
Crow: City of Angels, The	1996	84	13	3.8	3656	R	Action
Evil Alien Conquerors	2002	89	0.5	3.8	111	PG-13	Comedy
Gone Fishin'	1997	94	53	3.8	1884	PG	Comedy
Knock Off	1998	91	35	3.8	1947	R	Action
Man-Thing	2005	96	30	3.8	163	R	Action
Pest, The	1997	84	17	3.8	1405	PG-13	Comedy
Skin Deep	2003	89	0.4	3.8	31	R	Action Comedy
Untold, The	2002	92	3	3.8	400	R	Action
Beowulf	1999	99	20	3.7	2058	R	Action
Bridge of Dragons	1999	95	4	3.7	373	R	Action
Flintstones in Viva Rock Vegas, The	2000	90	58	3.7	1712	PG	Comedy
Highlander III: The Sorcerer	1994	102	26	3.7	3388	PG-13	Action
McHale's Navy	1997	108	42	3.7	1758	PG	Comedy
Out of Reach	2004	88	20	3.7	399	R	Action Drama
Wing Commander	1999	96	30	3.7	4854	PG-13	Action
Batman & Robin	1997	125	110	3.6	28457	PG-13	Action
Dudley Do-Right	1999	77	22	3.6	1790	PG	Comedy
Johnson Family Vacation	2004	97	12	3.6	955	PG-13	Comedy
Tarzan and the Lost City	1998	83	20	3.6	510	PG	Action
Warriors of Virtue	1997	101	35	3.6	389	PG	Action
Are We There Yet?	2005	95	32	3.5	1043	PG	Comedy
Diplomatic Siege	1999	96	45	3.5	340	R	Action
Dusting Cliff 7	1996	95	1.3	3.5	80	R	Action Drama
Freddy Got Fingered	2001	87	15	3.5	9115	R	Comedy
Avengers, The	1998	89	60	3.4	11499	PG-13	Action
Ballistic: Ecks vs. Sever	2002	91	70	3.4	4556	R	Action
Catwoman	2004	104	85	3.4	8815	PG-13	Action
Derailed	2002	89	18	3.4	1075	R	Action
Highlander II: The Quickening	1991	92	30	3.4	9264	R	Action
Legion of the Dead	2001	92	2.7	3.4	374	R	Comedy
Meet the Deedles	1998	93	24	3.4	443	PG	Comedy
Dumb and Dumberer: When Harry Met Lloyd	2003	85	19	3.3	4689	PG-13	Comedy
Speed 2: Cruise Control	1997	121	110	3.3	13268	PG-13	Action
Alan Smithee Film: Burn Hollywood Burn, An	1997	86	10	3.2	1262	R	Comedy
Cat in the Hat, The	2003	82	109	3.2	4997	PG	Comedy
I Got the Hook Up	1998	93	3.5	3.2	412	R	Comedy
Minion, The	1998	95	12	3.2	338	R	Action
Soul Plane	2004	92	16	3.2	2361	R	Comedy
Torque	2004	81	40	3.2	4050	PG-13	Action
Foreigner, The	2003	96	20	3.1	904	R	Action
Air Marshal	2003	90	0.5	3	81	R	Action
Mortal Kombat: Annihilation	1997	91	30	3	5799	PG-13	Action
Out for a Kill	2003	88	20	3	818	R	Action
Spice World	1997	93	25	3	7710	PG	Comedy
Bug Buster	1998	93	8.5	2.9	268	PG-13	Action Comedy
Last Patrol, The	2000	95	8.2	2.9	236	PG-13	Action Drama
Master of Disguise, The	2002	80	16	2.9	3903	PG	Comedy
Frostbite	2005	83	2.4	2.8	201	R	Comedy
Killers	1997	86	0.1	2.8	127	R	Action
Marci X	2003	80	20	2.8	741	R	Comedy
Rollerball	2002	97	70	2.8	5328	R	Action
One Hell of a Christmas	2002	94	0.4	2.7	70	R	Comedy
Chairman of the Board	1998	95	10	2.6	666	PG-13	Comedy
Steel	1997	97	16	2.6	1607	PG-13	Action
2001: A Space Travesty	2000	99	26	2.5	2023	R	Comedy
Baby Geniuses	1999	97	13	2.4	3142	PG	Comedy
Battlefield Earth: A Saga of the Year 3000	2000	119	73	2.4	14970	PG-13	Action
Rachel's Attic	2002	112	0.083	2.4	58	R	Action Drama
Vault, The	2005	87	0.1	2.4	64	PG-13	Action
Helix... Loaded, The	2005	97	1	2.3	33	R	Action Comedy
House of the Dead	2003	90	7	2.3	3921	R	Action
Theodore Rex	1995	92	33	2.2	567	PG	Comedy
Alone in the Dark	2005	96	20	2.1	2880	R	Action
Son of the Mask	2005	94	74	1.9	1785	PG	Action Comedy
